Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,6.83013698630137
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53972602739726
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,2.09041095890411,,,,,,10.28767123287671,4.665753424657535,5.9,6.764383561643836
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,14.42465753424658,14.12328767123288,13.31506849315068,12.63013698630137,10.83561643835616,9.764383561643836,9.7013698630137,9.7013698630137,10.50958904109589,10.58356164383562,10.72602739726027,8.7,7.095890410958904
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,5.057534246575343,5.123287671232877,5.643835616438357,6.093150684931507,6.547945205479452,7.068493150684931,7.383561643835616,7.383561643835616,7.745205479452054,7.495890410958904,7.471232876712329,7.0,6.857534246575343
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,7.224657534246576,7.698630136986301,7.547945205479452,7.915068493150685,7.715068493150685,7.742465753424658,8.32054794520548,8.32054794520548,9.860273972602739,10.40821917808219,10.93698630136986,11.6,12.13972602739726
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.953424657534247,,,
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,4.893150684931507,4.641095890410959,4.810958904109589,4.810958904109589,5.419178082191781,4.915068493150685,4.895890410958904,5.2,4.578082191780822
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,1.898630136986301,1.443835616438356,1.13972602739726,2.857534246575343,2.857534246575343,4.975342465753425,5.210958904109589,5.953424657534247,4.906849315068493,
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,6.345205479452055,6.728767123287671,7.257534246575342,7.427397260273972,7.964383561643835,8.495890410958904,9.375342465753425,9.375342465753425,9.717808219178082,9.95890410958904,9.873972602739727,9.8,10.37808219178082
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,638,Benin,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,2.178082191780822,3.926027397260274,3.482191780821918,3.482191780821918,2.627397260273973,3.158904109589041,3.227397260273972,8.1,7.715068493150685
BMU,319,Bermuda,EMDEs,North America,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,514,Bhutan,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,218,Bolivia,EMDEs,Latin America and the Caribbean,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,16.51780821917808,15.58630136986301,,,,,,,
BIH,963,Bosnia & Herzegovina,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,616,Botswana,EMDEs,Sub-Saharan Africa,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,223,Brazil,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,4.698630136986301,5.090410958904109,5.052054794520548,7.268493150684932,6.920547945205479,6.879452054794521,6.6,6.6,6.224657534246576,6.293150684931507,5.517808219178082,5.2,5.578082191780822
BRN,516,Brunei Darussalam,EMDEs,East Asia and Pacific,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,918,Bulgaria,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,4.142465753424657,4.013698630136986,3.980821917808219,,,,,,,,8.397260273972602,7.4,7.416438356164384
BFA,748,Burkina Faso,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,3.087671232876712,2.438356164383562,2.306849315068493,2.306849315068493,1.619178082191781,1.284931506849315,2.041095890410959,3.3,3.232876712328767
BDI,618,Burundi,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,624,Cabo Verde,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,522,Cambodia,EMDEs,East Asia and Pacific,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,622,Cameroon,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,0.736986301369863,6.739726027397261,6.416438356164384,6.416438356164384,6.049315068493151,5.553424657534246,3.405479452054795,4.9,4.276712328767124
CAN,156,Canada,Advanced economies,North America,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,5.772602739726027,5.090410958904109,5.589041095890411,6.087671232876712,6.471232876712329,5.482191780821918,5.43013698630137,5.43013698630137,5.49041095890411,5.432876712328767,5.205479452054795,5.8,5.928767123287671
CYM,377,Cayman Islands,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,626,Central African Rep.,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,628,Chad,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,228,Chile,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,7.410958904109589,7.778082191780822,8.208219178082192,8.621917808219179,9.172602739726027,8.558904109589042,9.553424657534247,9.553424657534247,10.45205479452055,10.15068493150685,8.638356164383561,10.0,9.772602739726027
CHN,924,China,EMDEs,East Asia and Pacific,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,8.791780821917808,8.43013698630137,7.934246575342466,7.594520547945206,7.386301369863014,,,,,,6.802739726027397,7.3,7.435616438356164
COL,233,Colombia,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,6.63013698630137,7.052054794520548,6.704109589041096,7.221917808219178,8.202739726027398,8.87945205479452,10.08219178082192,10.08219178082192,8.509589041095891,8.246575342465754,9.336986301369864,10.6,10.5945205479452
COM,632,Comoros,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,636,"Congo, Dem. Rep.",EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,634,"Congo, Rep.",EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,238,Costa Rica,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Sovereign debt average maturity, years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
