Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,73.91468750552198,43.35206107854532,44.46248547590859,46.75430620315054,48.84523307046516,49.7645848703004,50.71733103328312,51.14835157909145,50.70858666799889,50.75847124270449,49.64522481461507,50.2982998454217,49.78790519902199,49.88967757932178,50.04187456419663,48.86852097224342,47.78203074030905,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,9.51489192074113,36.24649967882679,54.32542688454937,66.61912905493641,68.45364291458772,71.39182898921321,73.20399902672075,78.32648611926,77.75154762124662,54.28823509791386,54.70882650581627,70.79541398279677,70.72134063030457,71.07216478584475,69.35142955572582,67.88773048169327,66.87122420653081,52.9917539818705,44.22251988605087,39.61981864924334,38.55948689121018,39.92179030634194,39.53097646691662,38.38729583302008,34.63130540236517,34.43921892817669,32.14948476367537,30.75129985612943,30.2937206071432,25.41154816145883,21.23116927541408,20.57741065376229,
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",0.7596647021944414,0.9710997707546984,1.359057140782008,1.447254842847893,1.616823999026988,1.799023267238632,1.747847081330692,1.79590261040497,1.929407031761423,1.911276951833502,2.110828469477922,1.940547661889651,2.224471109839731,2.596695761196606,2.895799479043638,3.280753792734243,13.41944037356459,14.84420682604607,17.20296307015083,20.28351744448782,21.1143921962182,23.26070047570802,29.97384910441292,32.72027786307267,35.33313260485147,38.4334299840899,17.9566327714076,17.52735254644809,16.8527244362927,16.21224556652596,15.51816683726983,15.07348784777645,14.67424212234803,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",0.7656964158180867,1.103488504666985,1.179084213895559,1.223060423781576,1.608276611548274,1.899438249784571,2.240662702223409,2.57758376779923,3.21879898326231,3.707770412042978,4.085635488492535,4.719287240104091,5.071953929670802,5.517455302557041,15.2124235735016,13.1477077397317,17.05318248770031,13.85789479869207,10.19494757984822,9.478646457244798,8.239462808573977,6.971818164394471,6.276854664663337,5.091287151136297,3.884868745309217,4.411066011137937,3.533049149805168,3.554826228018286,3.081765708784483,2.932232448274755,2.912247788460891,2.766640913565226,2.374128309934764,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",0.55842971530853,0.5337595976637152,1.543432033274193,0.9707155250635144,0.6475588645511938,0.50808795640594,0.5020079816786356,0.5196885100280612,0.4685046413724716,0.4092183151933915,0.3879944307885569,0.3888468772180209,0.3244639469365749,0.3117635711468759,0.2791575041612215,0.4667964689363329,0.596986998672452,0.5143776282576435,0.499192650701594,0.5524160831260845,0.5813514956242356,0.5444289295901646,0.5383225792912697,0.5331561033394993,0.3031806439086996,0.2795341990249385,0.1708375377380854,0.1337087626519704,0.1123804673956798,0.2174212346599952,0.2172912625735147,0.1260072695105518,0.1729684988290469,
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,2.949206682222694,30.48743333765533,47.33870999866272,53.33884432887324,58.43629540927413,61.80449226264646,64.87453445828578,68.54904153557175,75.64849108209147,88.79193558972254,94.86826555819425,95.98533137647048,97.09444731170585,97.17671223011176,97.56648209307328,75.03831184776531,74.24267970845304,71.04327648426012,64.96672642193288,56.5078616144159,52.44633179621556,42.66262664747946,37.68899611515278,33.27519595006273,30.42354200684765,27.34622384477724,27.17675210135579,21.88195911077525,19.39003828319197,
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,14.65142248510797,25.93784667546515,49.75670660630868,49.1845124633158,43.47410262807637,39.56196152360849,46.70642580014314,59.10278707716095,66.84076540335931,70.39039599526008,61.87318319050328,56.38734364813762,50.177824609329,47.25701519231148,40.02807393273945,37.59097839218476,34.14434943833437,27.50006373333883,21.06031239093971,15.48366592111084,14.33061319057957,11.77360710787491,10.76453565668676,9.420658600617225,8.970473479475652,8.972487708371556,8.255346820989335,7.322012686032326,
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",80.22327142316347,83.84479828275286,85.46787284194241,86.59766712839807,90.04206488500837,90.6980088181487,91.14094579598546,91.40615359806154,91.44880219051747,90.7627590337789,90.19737056648809,89.30327232288865,89.09148535179429,89.10186730691017,89.07556225699486,88.68037583222967,87.64698307692215,87.72800448183362,87.50452042672526,84.83476051226303,85.25366897070721,82.41751928012249,78.40577985955493,77.29333235210161,71.48175283921594,71.11867830971599,68.66611619026136,65.84187597165582,60.50162346051413,58.02471527812496,55.98307682732408,50.63610320306325,47.6082380087588,
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,44.55161010966228,34.29343734678454,29.62138384799534,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",25.98957460616462,25.78221117519404,23.32356123910711,21.15861035633966,20.67999776672866,18.47621817255714,15.79583489018386,13.58684615210744,12.68136369581115,9.482777225664014,5.211990127792581,4.111492859108909,3.450133231754645,2.824114090825796,2.722461909024862,2.219134028610629,2.739279378639067,3.117400832419526,3.567175511394644,3.60472385690799,3.478576845828786,3.320649091385648,3.24942314523461,9.687024150660214,14.30228089614529,17.08145733607871,18.05967241466442,17.80247633808415,17.70631622896456,17.33471125832087,16.4280847734069,19.02464439772759,19.42376887668816,
BEN,638,Benin,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",53.62695329961405,59.77543256854898,58.6627848047448,61.22968535944701,62.88301858649756,64.6337679736225,70.37530717588791,71.60531767720893,72.09286328843271,74.88062648407079,80.1457938825352,80.92530314555978,79.70297589990611,86.55775263358089,88.22078800311891,90.15318187802443,62.74596681603263,66.02341742969878,70.86349810723102,71.64347731154011,74.8369557160959,75.95285665607246,74.62040783646395,75.43498064718689,76.45159563124678,77.4258322233816,77.06368976601351,74.59496755815938,58.65868709213537,55.60972910958245,52.01338684021516,40.09064791365809,41.91971882903987,
BMU,319,Bermuda,EMDEs,North America,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,514,Bhutan,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",52.17322046181712,56.93886298895539,58.09017099506215,58.44909906047009,60.66614377809876,65.58071909074322,61.40859895960993,64.07400842000662,46.68464116166793,51.79282786369861,48.82464498386695,40.64389419562568,40.68742782219778,37.47481641640877,35.29062768853192,33.43541974793173,33.99445101777007,34.8802859294473,41.22186863681496,39.72010426471856,37.45438509784896,36.51778846428319,28.77998159880371,26.60662619615855,22.57844446645207,19.87715272043044,16.58147703577693,15.83151712217862,17.02969615456851,18.52264846484878,20.72274439215184,21.85108812831458,25.95392848165057,
BOL,218,Bolivia,EMDEs,Latin America and the Caribbean,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",33.02346185415899,35.97094285836442,36.54269579273019,39.7921771055293,40.02046167755984,42.15259417897526,50.33295769280389,53.92065784563307,55.50946706441989,65.83636524364086,66.95806392665833,67.41878027008141,67.71331639125233,69.02318360601049,69.96654646449211,69.10014148447507,56.35308773554275,32.88615995722849,31.61967115016387,33.94387165233729,34.99327546983729,32.42737092797498,28.82170726059283,24.78292494632613,23.74270868203888,22.83992202129266,21.28138534906603,12.51978198020676,11.31590440414213,10.05857735360282,9.565423224463947,8.407813998440007,7.547785822860873,
BIH,963,Bosnia & Herzegovina,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,33.32607569195291,38.5454009070608,43.94186417439553,47.93435741688921,49.65163497488737,53.17864342107611,53.44606723656266,55.23532889233421,55.24109360381686,54.53179780235886,47.00173046551109,46.81729462754296,45.87208202394602,42.4137179390447,37.34274830165269,34.88037235627773,34.76683285392612,33.18247663190907,31.28787011548112,29.15652232722192,28.16903291361563,26.15940098921257,26.70494476182058,24.57122236742318,
BWA,616,Botswana,EMDEs,Sub-Saharan Africa,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",17.58988647791933,20.81859736356675,22.27247320919825,23.54892361901864,25.02200714117792,25.10406327816533,27.87637397687862,31.51862756419183,33.8640132919843,34.65511973955838,36.12712193338171,38.73633071082344,40.78014308722032,42.2942859524651,42.80827428019064,44.38404329609553,47.38497419374112,44.78529578750722,42.74220479231007,11.68344162839265,9.968592437981071,6.780950550258249,6.12217981462487,5.929748381022268,4.842153070215192,4.994833608131984,5.327306289441708,6.108941944740826,6.551518132197395,6.417385999906479,6.1614302023711,4.461324605068396,3.56138075638194,
BRA,223,Brazil,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",0.988514211090638,0.9607202164614816,0.7695996855060304,0.7761462654685625,0.6857591673216651,0.6762054027939786,0.6895452260429588,0.7682506571037399,0.6882884938773155,0.6677401066524793,0.5575305437751823,0.5312432080055045,0.4870830671989512,0.4222929632749478,0.396670303693379,0.3577331215838359,0.3627032493891202,0.3559827917219062,0.4106847705260224,0.4254965619815074,0.3827309258289536,0.3719873700553482,0.5978822986274973,0.4705994139295071,0.3712736597296918,0.3515877184920934,0.3485891341808442,0.3475850035945189,0.3397601784477797,0.3343245547673814,0.3411575786927842,0.8405830682361534,0.8478662852969044,
BRN,516,Brunei Darussalam,EMDEs,East Asia and Pacific,High income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,918,Bulgaria,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",,,,,,,,,0.03024338151021127,0.09006073609066013,0.1347668811417585,0.150860752208294,0.1866782999949252,0.2613653395356205,0.3100198523592837,0.4347844780383046,0.4744203887609382,0.5440650404380253,0.7130388956127999,0.7015295933128487,0.7814476106326685,0.8166320495994462,0.580008367912131,0.6068430490917807,0.4065048239320471,0.2518369595269446,0.1927271509722166,0.1849463805444493,0.176514734333437,0.1719566342385857,0.918861060842462,2.995529857020089,2.811801515699654,
BFA,748,Burkina Faso,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",66.10042075784031,67.64132823491116,68.93365194995741,71.93223594814368,77.19383563831302,79.9546305003021,81.9730107527904,82.54397836068033,81.17980464953078,81.65646418977899,78.93861249585116,77.09807867121829,83.86954004173388,85.13293914938036,89.7103576307711,87.25924833244859,70.78801777826595,71.42349366261963,74.73315562663417,77.14763996747479,77.4960116708209,78.54966852437666,79.02138726488994,80.11021072337182,81.09928950596968,81.22407844190262,81.17097362642927,82.14880661696255,81.6213074593432,81.97591516116726,81.9637213526797,82.88965095076004,81.55532911463446,
BDI,618,Burundi,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",76.28608986203285,78.88661304231216,82.13686855238782,84.31249519753638,86.03289025200684,88.52299960199097,89.22228749505207,89.64288878053725,90.27018671387003,90.89040793548578,90.71672632289707,90.9019321023137,91.21407091620182,90.97291729472252,92.98287564947502,93.6770522075501,94.06295426045082,94.1594876892834,94.77279631212795,87.55558390591881,87.17270408664629,86.77427971597602,86.4478071928543,86.33574337701322,86.91654347997756,87.19711246399528,87.35502067428655,87.97368456336059,88.19028265054287,85.29256340615142,86.23616900582762,82.77994812641796,82.1491010512674,
CPV,624,Cabo Verde,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Concessional external debt stocks, % of external public debt",54.1863694861457,58.17254751160321,61.81156691086831,62.77765716180104,68.61182393100987,68.87072580017713,67.34059515745362,68.45704028621519,68.19103249142967,64.35650752073626,66.53675092478515,63.4295513827863,67.59785984345565,69.21195425341745,72.34883282594726,72.33335506818142,73.08905438537633,74.30090861808453,75.7624651064741,71.4727910172665,64.94798509283382,59.61606044285967,55.04478164873721,49.85124537774145,47.18499675047485,47.59874510487165,47.08557315977259,44.1105407073717,44.35869335513497,46.09511981658267,45.33772008212689,46.07197244777475,46.70972494303415,
