Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,1.318740704015865,0.7759604190919674,1.142578650845091,3.376908990011099,2.305025684478102,2.733785994764398,2.174629158720068,3.353838895510528,1.594568868980963,0.07512269302550632,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,23.39580587642453,26.01678838039598,24.14978879849812,23.29566661633701,22.30432873825621,19.52751643904906,19.63910978319161,16.91030546942007,18.69053185271771,19.70577935755661,16.92434942170818,16.58999109154745,16.59969221298861
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,0.003104099331178597,0.001637494191321281,0.001557861939748637,,,,,4.090765896530176,4.232146388500731
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,19.94570176223276,1.017089017828555,2.204138687733157,3.428920747776436,3.753195517840852,10.31030220323563,9.068835947616003,1.341615936380768,2.169728808746273,16.956185792541,15.48187173561668,5.556718447234299,6.989667411873152
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,1.195416666666667,1.919051651143099,2.36616,1.052356020942409,0.3866388308977036,3.641076294277929,0.9345794392523366,4.269850746268657,0.9808615819209039,0.5051249199231261,1.68646188850967,0.205885363357216
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,3.177128897514233,2.705568379032063,3.066470854709381,6.814062461187977,6.888742404243661,12.65538081878823,13.86757762933304,7.349313827748549,9.089801057386259,10.5648850780597,7.276587118390896,13.54440159705199,8.972886521747098
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,1.16539144153027,1.462972031264714,1.518766297994785,1.327674418604651,1.06878612716763,2.681718186990328,4.194872907087707,1.461125381281104,5.459167339745943,1.81483942414175,2.107594207075438,2.444552628881829,2.526984061270958
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,4.294455066921606,2.796920821114369,0.333213901827302,1.083226459669254,1.075603217158177,1.678525226390686,1.398046398046398,1.348645465253239,3.28253223915592,2.707057686110216,2.369534555712271,2.159004318008636
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,2.454812815699265,3.144399037343997,1.964720950089265,2.128979742486444,1.428357928468092,1.707715326053072,1.684986171102233,1.551460575661441,2.850233539162832,5.034290325818502,3.995664190894071,2.51109764836016,4.099729258353896
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,5.475175448148672,6.984846006820273,9.206772711106773,5.796717408442305,5.166066333342059,6.861445235110986,6.551773376103415,8.343153968163305,6.903425879072069,10.2495255359431,9.972075669183969,9.144852254592374,7.954728598641549
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,0.2466551431344008,0.2487342862063027,0.07584677201876922,0.1858164418156443,0.08437081344227032,0.5388977002379064,2.485694259818731,4.220909303164731,1.81816124880641,2.167973672499005,1.40315731874145,1.771560320626008,3.76139432925795
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,11.55845988115509,11.13553936713389,11.76307200590061,13.77726728165808,21.38440629931403,21.10660462230495,21.40070756046682,19.51054706100206,24.09356599575723,27.29420888452429,23.36211153249001,21.27956199445734,22.37797376550119
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,2.269711285748587,2.135472522519703,3.758693425944478,3.161060733358442,3.343767518090437,3.281585078948559,1.567115453353985,1.641926510444055,2.509342667934563,2.791809351113393,2.704287893529362,2.594468721276138,3.596365400168926
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,0.008676789587852495,0.4886893307675861,2.448019591141397,0.9145820105820106,1.207614318228843,2.121918908069048,0.9038846380223661,1.956437488354761,1.604372384937238,0.5055611729019212,0.8560178051703475,1.956793988728867
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,15.3203507383815,16.09797227207448,11.95160588655785,11.77161087448112,13.13705304909566,12.11880293571967,12.55437526239238,10.35231259175856,9.73483901665345,10.50943741763226,13.14954562013744,10.99518201046421,14.27632714922791
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Central government debt maturing in 12 months or less, % of GDP",,,,,,,,,,,,,,,,,,,,,,0.1594282572842221,0.1526315789473684,0.01879327398615233,0.005647058823529411,0.005466970387243736,0.2380187416331994,0.000882223202470225,0.0008722197993894462,,,,,
