Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"Fiscal balance, % of GDP",,,,,,,,,,,,,-0.098,-2.102,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,-2.243,-0.485,-0.997,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Fiscal balance, % of GDP",,,,,,,,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.318,-1.498,-1.406,-1.62,-1.866,-6.7,-4.597,-3.658,-1.14
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"Fiscal balance, % of GDP",3.351,1.525,-1.048,-7.79,-4.051,-1.298,2.698,2.192,-3.52,-1.831,8.913,3.152,0.215,7.217,6.363,11.431,12.869,4.628,7.786,-6.529,-1.347,-1.058,-4.036,-0.788,-7.145,-13.879,-11.847,-7.547,-6.154,-8.509,-10.518,-6.315,-2.47,-2.987
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Fiscal balance, % of GDP",,,,,,,,,,,,0.658,0.978,1.764,1.855,-0.081,-1.436,-2.828,-3.192,-3.51,-0.349,0.405,-1.653,3.36,2.143,1.654,4.068,3.338,2.671,2.306,-1.066,-1.166,4.843,2.235
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"Fiscal balance, % of GDP",,,,,,,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.586,2.287,0.776,-1.931,3.83,0.675,-0.101
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Fiscal balance, % of GDP",0.128,-4.094,-0.854,-2.585,-4.595,-4.152,-1.727,0.0,-1.758,-3.355,-4.91,-9.404,-9.737,-8.106,-4.354,-4.802,-7.46,-5.641,-5.361,-17.836,-0.277,-3.497,-1.108,-4.296,-2.87,-2.6,-0.145,-2.841,-2.471,-4.012,-6.155,-4.64,-4.168,-2.04
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"Fiscal balance, % of GDP",-3.528703422854388,-2.175836252124189,-1.603574758777089,-0.024,-1.25,-2.075,-2.811,-1.838,-1.827,-3.705,-3.417,-5.364,-1.91,1.5,3.967,3.341,1.65,0.757,0.352,-1.83,-1.393,-2.746,-3.018,-3.254,-4.252,-6.001,-6.655,-6.693,-5.441,-4.445,-8.674,-4.321,-3.854,-4.246
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Fiscal balance, % of GDP",,,,,,,,,,,,,,,,-1.976,-1.95,-2.334,-1.757,-7.686,-4.979,-2.875,-1.493,-1.593,-1.943,-4.837,-5.632,-4.785,-1.752,-0.977,-5.403,-4.584,-2.111,-2.017
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Fiscal balance, % of GDP",,,,,,-0.834,-2.343,-2.102,0.114,0.086,0.645,-0.835,-3.169,1.896,-8.531,-2.957,-2.541,-1.046,1.466,-2.631,-3.487,-6.429,-8.955,-6.048,-7.459,-1.475,-1.455,-2.587,-2.641,-0.243,-16.23,-9.161,-0.465,1.555
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Government debt sustainability,"Fiscal balance, % of GDP",-0.232,-2.788,-4.744,-4.727,-3.793,-2.604,-1.456,-0.493,-0.246,0.666,1.25,-0.03,0.193,1.05,1.323,1.707,1.772,1.474,-1.101,-4.562,-5.115,-4.526,-3.509,-2.809,-2.917,-2.785,-2.422,-1.716,-1.257,-4.404,-8.718,-6.457,-2.255,-0.945
