Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,36.77639412484832,39.91998208250421,40.0021927392989,39.89548082102522,38.37176544528747,41.30367981314557,46.82442380852572,46.74947436848427,46.52564563384368,46.00227051637813,44.55469878695978,44.89658717527026,45.97538215679895,42.11558951177248,40.9375429766425
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,33.31904483104717,37.15462955764597,40.44615103309563,42.24792543305073,36.33087857509847,35.28640080479067,37.75634394206779,33.64164228745592,30.84884248751702,29.97003734262225,29.87422536760661,32.20028468408598,37.4183265286451,44.90658936420402,52.40858546364704,53.83010784826522,50.50021292036778,44.45564013840831,40.75126991090969,38.61421384242745
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,27.99097294934483,33.13368872164733,33.05358637717095,38.85173563443812,27.4360904951418,35.96199524940617,48.36875655864802,51.27878371151349,48.0047225501771,46.6492911043489,46.59384463750606,45.7285623332308,41.51834929565678,42.58045898719307,42.85437250655901,39.63880576412067,40.26657917322547,33.88623293489805,33.8608251039204,32.81532929643121
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,51.86081556680688,59.50341818161919,63.7835082088486,67.91527174030516,71.01433912881612,71.16963515404711,76.9367480643011,78.12738108057252,78.63574838822353,76.60153073147627,75.92454821699563,73.72503503057703,67.52042981967723,66.79376756285517,66.93462195599056,64.94268761549988,61.86052880840394,61.21749973440027,59.61757996068027,60.51314925409562,57.48855620148081,54.46435788878279,55.51092754978293,58.14481527982667
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,83.51035877869637,81.64371819031517,81.79717356794819,76.1170797878549,71.91880427598598,68.51020787688579,70.70057972631582,73.11607109879428,77.48753371803977,78.95151840880693,75.4291986989203,72.44606520139399,73.33318784831278,78.61058777695506,80.45592687621927
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"General government debt held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,24.94575526241986,24.67975694854791,24.99093097427963,23.30394660954107,21.32401568581063,20.57808933015407,25.06527106779637,24.93216185975244,31.24699826077486,33.77830358771323,33.91476236820687,37.01766886575032
