Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,98.9377138934842,98.68536727618806,92.48793182641784,80.74661782623244,89.65729283760007,92.80171737548676,93.47383852590964,91.35638732997587,95.2601391351147,93.77445788909944,94.71307312895578,95.8657649342538,96.53037770030488,92.28859831475536,87.89658441496037,91.460432362641,94.06203269693796,96.32790508924504,96.63714871790988,97.76864044658475,98.82515125403596
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,99.13554630404684,99.20384767786692,99.1578481648797,99.36947547874136,98.88286341945538,99.16831623612988,97.6522031393417,97.8523932798375,98.63743174862287,97.04491109244624,97.34270513137656
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,638,Benin,EMDEs,Sub-Saharan Africa,Lower middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU,319,Bermuda,EMDEs,North America,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,514,Bhutan,EMDEs,South Asia,Lower middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,218,Bolivia,EMDEs,Latin America and the Caribbean,Lower middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,963,Bosnia & Herzegovina,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,616,Botswana,EMDEs,Sub-Saharan Africa,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,223,Brazil,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,73.50423736826912,76.29015359276382,74.45761095190753,74.53001122726432,77.11666569946635,77.7655605271994,80.54797712824816,77.92645486984553,76.4139091695101,73.8435676163176
BRN,516,Brunei Darussalam,EMDEs,East Asia and Pacific,High income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,918,Bulgaria,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"External debt in foreign currency, % of total",,,,,,,,,,,,,,,,97.86415698823102,95.35849308409908,96.57271008596038,94.10132361964986,96.85157769691926,96.27070598509728,96.88366286343064,97.38368782601545,97.24400165551288,96.83564479056062,96.7538196191302,96.92086677094473,97.08667840068642,96.82812093177208,96.73026371645904,92.83087829618218,91.25834719621524,90.7824907274269,91.23337754137349
