Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"General government gross debt, % of 10-year moving average GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,,,,,,,,,,,,,,,,,,,,14.2688703288084,13.30479700973324,12.54244734556654,14.5282901389699,14.02441074606523,11.61496063898912,10.55433874602317,9.2914248497484,8.176102675466991,9.848978992997177,11.37441654039158,10.85767598283445,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,,,,,,164.8318360585245,150.8734075941671,135.1982081579597,117.5761031570591,104.6894743445553,102.7216696312599,94.1224661364684,87.37695432788172,86.85512662688558,83.46875705223378,78.80024519142549,82.10909426624364,85.77247962255832,82.281675295135,81.91707445038503,81.55788382112098,87.76606859621971,87.45897650214933,87.26864560955195,84.91148990779973,83.8192410297041,82.0601301551939,79.12812348805949,84.27404445012141,90.85049156953524,86.66073928342924,80.75616277549739
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,195.6519248254352,159.8502126421735,162.6992080710028,231.2963997437436,224.7448014069729,215.2613997071084,166.3964473752613,143.3359573117664,121.6635922811333,99.32632351523894,82.7714680008442,73.74044326204883,60.64527153134704,52.99709118406164,42.7685589930157,38.14818506915938,21.21841901477199,13.06278511064098,12.9040010019671,14.93201333492837,14.12378215506119,13.95770289621141,9.77297969821435,9.885490568382895,10.09994071220395,23.04197981183254,30.38343886678083,44.05992182748816,49.74701859033569,48.66541193406451,67.11609390638796,69.66160316640838,69.64766872033596
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,,,,,,,,,,25.44241799235231,24.0571496650447,24.09880956050003,24.00215387658335,22.96223200239429,26.04528125234616,30.13041310534685,35.65352217054754,38.2263412109712,37.59315153265398,37.87763307719872,40.0584556794777,39.27354104277048,39.54141994881002,39.38733700432105,40.01304770691578,38.99779837865094,38.51047944939145,38.49307454615682,45.43918935667531,52.5127594819967,46.69625434563194,45.15807426597582
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,,,,,,,,,1076.832256462624,719.145003220416,469.0958266278068,324.3836597129409,216.2083777564174,142.5464557215198,66.96795307796236,62.79075157237185,89.01527336987347,108.3774410625713,78.27868775294499,66.2885022750905,55.8887072336926,62.26416924101166,69.0308137519914,85.33528330828054,118.4963319250651,116.0732423988609,170.3578150713288,212.0013758501212,240.5899741634438,174.1667237729043,135.4245686990143,168.9964889117397
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",157.1602143595041,149.0808165625723,134.7703581151833,124.0226316290584,123.7022851443934,123.2186479099679,117.3443659759108,111.8897768450507,132.7889126712329,134.6923120487926,137.5011677805136,142.2547778769952,147.9746923117907,147.268136076594,145.3017054754482,117.7119635543693,120.3360088136179,110.9232641236118,105.7260629654706,119.8921108037222,96.955001916176,95.23158506111972,92.4744935573316,96.9058732121904,105.4832858376511,107.4651314958973,98.1903227133788,106.1006422018349,107.856841325047,104.8202546436642,103.4605420303169,105.3857378768021,104.2561776275973,101.9105850082649
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,117.8920491806533,88.78723265029915,75.14900033983301,64.41040770776199,58.90273501782898,51.62848273369764,48.71159989791136,46.44053062905431,44.7858700452275,48.14986881763939,166.4152293388049,161.9973433027947,166.0150614742795,125.0940953535455,122.1171927956122,118.0829744114979,111.7714475535303,106.9142814924676,92.45599036470016,87.56682385083143,89.05913787378425,97.71032060145404,107.7271794863427,128.4258611930242,136.9326440984944,145.9741126514583,227.5339717157831,256.3539419781609,279.4070888240688,257.8485926873226,310.1813987387985,718.1541849214801
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,,,,,,,,93.90515512416344,79.24608414942387,70.71311932877681,67.75443857387049,57.60209330194023,45.73366078109076,42.91949821343582,33.72351130903995,29.66617688825749,29.23381768095392,57.71679496697881,56.50861074141353,59.01371881656625,59.03081406172645,56.87304386002921,59.17951246758958,63.88782646284674,70.37962936210594,75.78656406304981,73.2406511834968,71.49154539662787,80.31912407606083,80.40010039014945,70.6078258012231,74.63645097803862
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of 10-year moving average GDP",,,,,,86.30612948114769,80.35899613899615,74.8655132591959,59.33805063782316,53.95626647666547,52.9743817512275,57.27592677171349,58.90325899536872,50.17214904330312,54.34344473984047,56.93233859397419,56.83482870618805,57.01492177905921,51.84693676388819,54.31910822595182,57.03589850803003,64.54237407586541,68.79877388535031,74.64556360778835,83.0056794663474,82.21909387277438,82.55596797342737,84.76216322656218,85.48387122432341,83.37712062707544,98.97518851954446,107.0844387223811,104.9456315045612,99.24644222791063
