Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.697,7.501,6.759,6.904,8.7,9.154,8.437,7.998,7.384,6.35,7.797,11.513,10.925,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.472,67.368,75.772,75.218,65.546,60.019
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,86.064,69.305,76.794,106.349,95.866,90.676,79.561,79.89,69.676,53.406,50.003,47.312,38.224,32.69,25.366,22.473,12.794,7.637,8.922,9.513,8.478,8.583,6.478,6.853,7.731,18.094,24.015,34.493,40.882,45.967,55.134,48.085,49.487
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,15.774,15.266,15.163,15.105,14.76,17.165,20.872,27.749,33.512,35.02,36.493,41.532,42.533,42.025,40.955,39.773,37.854,36.344,35.365,46.353,48.614,38.915,36.42
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.663,69.323,92.995,113.554,138.708,83.734,64.84,84.472
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of GDP",98.07,99.074,95.479,90.146,89.655,98.322,91.674,87.022,102.609,104.603,105.132,117.951,126.3,125.076,120.127,92.614,89.101,77.784,75.989,100.632,89.742,91.803,87.494,95.791,101.369,99.071,86.126,92.193,87.316,84.074,100.13,95.43,87.113,80.615
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,24.961,26.893,28.426,30.749,32.551,31.676,34.147,38.917,40.833,48.007,147.203,125.162,117.878,80.282,70.793,62.133,53.814,55.397,43.454,38.935,40.436,43.496,44.697,52.563,53.06,57.028,85.246,89.84,103.816,80.82,84.685,154.536
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,40.792,46.515,45.2,39.2,39.597,38.061,38.248,33.016,26.446,24.405,18.725,16.102,16.145,40.161,39.667,42.006,41.225,40.856,43.689,48.702,56.749,58.938,55.655,53.673,67.362,63.315,49.247,50.457
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,55.095,54.771,51.068,41.039,39.288,38.613,44.326,47.079,40.848,42.543,45.093,45.518,44.558,40.31,48.785,54.662,59.347,65.533,70.032,77.709,74.177,75.387,75.825,73.31,71.053,112.339,101.816,90.111,79.776
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Government debt sustainability,"General government gross debt, % of GDP",16.41,21.606,27.625,30.666,31.709,31.154,29.339,25.907,23.698,22.539,19.497,17.111,15.011,13.182,11.904,10.859,9.939,9.666,11.74,16.62,20.347,24.041,27.52,30.461,34.021,37.708,40.582,41.151,41.702,46.656,57.004,55.484,50.108,49.381
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"General government gross debt, % of GDP",55.932,56.134,56.028,60.629,63.721,67.865,67.807,63.056,68.819,61.103,65.738,66.355,66.978,64.896,64.849,68.318,67.001,64.74,68.417,79.58,82.418,82.178,81.661,81.011,83.758,84.401,82.549,78.603,74.074,70.639,82.959,82.505,78.434,75.533
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,19.209,16.721,11.443,14.291,25.414,13.133,12.954,11.885,10.659,9.71,6.855,5.297,4.003,3.221,4.726,4.981,4.967,5.831,6.179,8.533,17.98,20.608,22.509,18.685,17.656,21.327,26.349,17.343,18.371
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of GDP",13.223,15.256,17.872,19.708,20.915,21.022,20.749,21.497,20.793,19.759,19.176,18.48,19.435,20.841,21.62,22.954,23.154,23.49,25.344,30.089,33.883,35.262,37.589,44.418,48.243,50.614,51.591,54.918,62.449,60.277,75.375,99.825,88.635,83.79
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Government debt sustainability,"General government gross debt, % of GDP",7.545,6.994,6.725,6.199,5.861,14.199,13.675,15.383,20.845,25.717,25.745,26.076,28.379,32.452,29.396,24.193,20.252,16.345,12.563,21.363,30.011,32.802,36.208,43.938,44.398,66.176,81.326,88.129,94.607,101.635,130.115,127.13,116.867,124.596
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,,37.044,36.585,35.558,35.332,34.989,33.87,33.01,29.623,29.393,29.078,28.344,28.683,28.206,27.72,28.306,29.553,31.951,34.509,35.614,37.863,39.794
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of GDP",,,,,55.93,57.916,58.54,58.539,53.882,53.771,61.301,67.484,70.967,70.86,70.528,73.306,75.768,77.44,83.383,100.013,108.157,112.637,123.672,135.161,139.18,146.775,149.363,158.098,125.374,116.243,148.111,131.514,119.578,114.841
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,,,9.223,8.115,12.274,15.813,20.295,32.547,36.805,58.223,36.946,36.859,38.791,53.007,53.482,53.16,47.515,40.999,47.493,41.182,41.297,45.038
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"General government gross debt, % of GDP",130.308,131.797,134.684,138.926,137.083,131.287,129.004,124.271,119.186,115.363,109.589,108.217,105.437,101.659,97.17,95.142,91.494,87.325,93.16,100.217,100.273,103.495,104.811,105.486,107.041,105.23,105.007,102.022,99.856,97.613,111.821,107.979,104.335,104.46
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,51.418,55.193,69.364,72.951,75.159,71.649,66.716,64.911,70.001,68.807,66.683,63.717,63.197,61.923,64.987,70.426,78.094,78.82,78.495,103.032,82.34,67.055,66.156
BEN,638,Benin,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,53.571,39.409,39.592,37.987,30.768,23.381,21.51,26.978,8.366,14.286,18.307,18.748,21.0,21.86,19.54,18.504,22.282,30.9,35.923,39.598,41.08,41.23,46.142,50.288,54.187,54.209
BMU,319,Bermuda,EMDEs,North America,High income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,514,Bhutan,EMDEs,South Asia,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,60.684,53.612,39.055,37.138,33.239,36.689,39.539,44.378,52.767,58.165,69.337,76.022,78.868,80.923,67.232,60.546,61.037,56.452,63.62,72.809,93.909,91.196,91.541,109.108,104.828,107.295,99.737,114.939,123.276,117.77,114.362
BOL,218,Bolivia,EMDEs,Latin America and the Caribbean,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,74.318,82.977,86.687,95.645,89.81,82.158,54.375,40.032,36.785,39.209,37.637,35.327,35.394,36.097,37.603,40.905,46.49,51.26,53.076,58.626,77.971,81.405,80.355,83.629
BIH,963,Bosnia & Herzegovina,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,54.397,56.039,34.686,35.23,31.198,27.635,25.487,25.515,21.245,18.709,30.885,35.067,40.805,39.55,42.207,42.499,45.859,44.991,43.548,37.438,33.769,32.081,36.036,34.586,29.623,28.118
BWA,616,Botswana,EMDEs,Sub-Saharan Africa,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,11.306,9.311,8.161,7.475,8.372,7.077,10.749,7.46,6.136,5.931,7.795,18.398,20.826,20.926,19.984,18.292,18.387,18.177,16.356,14.531,14.856,16.472,18.703,18.693,17.84,19.411
BRA,223,Brazil,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,62.198,67.331,76.095,71.514,68.025,66.969,64.599,63.025,61.42,64.702,62.433,60.634,61.614,59.595,61.617,71.73,77.422,82.745,84.777,87.118,96.007,88.934,83.939,84.675
BRN,516,Brunei Darussalam,EMDEs,East Asia and Pacific,High income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,,,,,0.594,0.685,0.942,1.11,1.113,2.129,2.101,2.209,3.231,2.953,3.005,2.825,2.586,2.575,2.857,2.514,2.057,2.329
BGR,918,Bulgaria,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,67.322,78.671,73.341,67.06,53.404,45.428,37.764,28.472,22.608,17.588,14.702,14.54,14.064,14.335,16.545,17.165,26.266,25.359,27.007,22.919,20.075,18.315,23.199,22.462,21.528,22.049
BFA,748,Burkina Faso,EMDEs,Sub-Saharan Africa,Low income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,43.287,39.658,40.74,39.214,20.089,22.416,24.868,25.871,23.694,24.504,25.211,25.901,26.086,31.251,32.855,33.882,38.114,41.898,43.848,55.639,58.405,61.911
BDI,618,Burundi,EMDEs,Sub-Saharan Africa,Low income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,136.425,127.387,159.088,171.969,172.738,136.98,130.255,129.613,102.515,25.69,46.912,42.706,41.43,37.858,37.971,39.926,46.119,46.902,52.971,59.988,65.965,66.564,68.359,62.841
CPV,624,Cabo Verde,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,89.514,82.228,69.968,82.637,79.914,82.548,87.859,90.893,89.374,88.691,79.846,76.535,65.538,66.151,71.56,82.937,93.476,105.589,115.571,115.403,112.757,112.001,109.431,148.053,153.09,127.496,115.377
KHM,522,Cambodia,EMDEs,East Asia and Pacific,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,29.823,31.233,36.779,34.36,34.852,33.509,37.83,39.782,38.744,31.67,26.729,25.068,22.954,23.682,23.402,23.795,24.861,24.397,24.174,23.264,21.79,22.641,21.089,20.835,25.543,26.327,25.665,25.851
CMR,622,Cameroon,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,67.759,68.37,75.881,62.182,56.6,51.521,51.728,43.843,18.354,13.804,11.153,11.256,13.989,15.047,14.874,17.472,20.707,31.62,32.108,36.539,38.335,41.597,44.858,46.784,45.325,41.907
CAN,156,Canada,Advanced economies,North America,High income,Government debt sustainability,"General government gross debt, % of GDP",73.744,81.658,88.23,94.73,97.48,100.084,100.244,95.272,93.29,88.966,80.437,81.462,79.604,75.912,71.889,70.64,69.92,67.181,70.355,81.804,83.976,84.286,87.151,87.605,85.541,92.029,92.397,90.942,90.776,90.21,118.2,113.483,107.368,107.129
CYM,377,Cayman Islands,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,626,Central African Rep.,EMDEs,Sub-Saharan Africa,Low income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,96.137,85.321,84.162,94.679,103.115,98.518,95.886,99.724,102.962,46.75,47.851,35.766,20.3,19.883,19.686,31.533,51.79,62.24,59.79,53.887,50.273,50.034,48.16,44.408,48.549,54.187,55.671
TCD,628,Chad,EMDEs,Sub-Saharan Africa,Low income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,42.542,49.894,41.428,39.948,32.773,23.951,20.904,19.022,15.987,14.605,22.593,22.506,22.935,22.073,23.524,29.4,32.103,38.101,36.766,33.258,38.008,41.155,42.146,35.919,35.129
CHL,228,Chile,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of GDP",,37.104,30.492,28.087,22.61,17.25,14.584,12.78,12.115,13.277,13.146,14.348,15.045,12.573,10.314,7.04,5.022,3.901,4.916,5.845,8.607,11.127,11.939,12.784,15.02,17.375,21.101,23.652,25.798,28.33,32.38,36.426,37.796,39.412
CHN,924,China,EMDEs,East Asia and Pacific,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,21.619,21.425,20.605,20.664,21.863,22.987,24.575,25.916,26.8,26.393,26.312,25.568,29.164,27.159,34.567,33.924,33.772,34.393,37.035,39.969,41.489,50.701,54.951,56.659,60.404,70.137,71.836,77.088,83.644
COL,233,Colombia,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,23.286,25.263,27.453,33.982,37.988,41.095,47.545,45.039,41.482,38.532,35.969,32.663,32.382,35.387,36.497,35.784,33.967,37.592,43.319,50.419,49.796,49.436,53.584,52.401,65.674,64.039,60.055,52.524
COM,632,Comoros,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of GDP",108.368,104.075,101.177,95.918,87.962,77.864,75.525,71.054,69.536,64.624,60.818,53.046,48.239,44.498,42.446,39.865,38.479,35.616,33.217,31.73,30.459,27.668,25.073,10.277,11.823,14.274,16.162,18.934,17.022,21.229,24.315,26.276,28.073,33.232
COD,636,"Congo, Dem. Rep.",EMDEs,Sub-Saharan Africa,Low income,Government debt sustainability,"General government gross debt, % of GDP",,,,,,,,,,,134.982,181.617,136.042,114.464,141.759,96.28,96.303,76.634,75.761,90.617,29.479,24.44,21.26,17.907,15.732,16.047,18.792,18.47,14.778,14.847,16.245,15.703,14.315,14.293
