Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,,,,,,,,,,-0.87,0.724,-2.431,-3.845,-1.742,0.945,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.206,-0.462,-0.989,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,,-6.424,-0.863,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.624,0.965,0.652,0.611,0.211,-4.612,-2.667,-1.805,0.925
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"Primary balance, % of GDP",4.846,3.192,0.932,-5.699,-1.506,1.561,5.888,5.817,0.087,1.684,12.538,6.368,3.014,9.221,7.65,12.365,13.636,5.443,8.313,-6.187,-1.096,-0.822,-3.798,-0.546,-6.949,-13.653,-11.61,-6.745,-5.705,-8.015,-9.697,-5.743,-1.252,-1.785
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,15.015,5.448,0.227,-3.257,6.725,7.25,-0.208,-3.255,3.104,8.678,10.69,5.384,-2.389,-6.048,4.557,8.983,4.992,0.447,-4.677,-1.136,-1.678,-2.963,7.024,6.356,5.029,9.002,4.687,5.456
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Primary balance, % of GDP",3.807,-1.514,1.876,0.264,-1.732,-1.398,1.216,1.728,0.873,-1.106,0.024,-5.932,-5.818,-3.276,-0.048,-1.294,-3.764,-2.511,-2.595,-10.778,1.806,-1.438,1.199,-1.678,-0.179,-0.087,2.395,-0.138,0.041,-1.236,-3.674,-2.339,-1.68,-0.384
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"Primary balance, % of GDP",-2.803923267043615,-1.1557354609768,0.5886802818166927,1.257,0.147,-0.408,-0.966,0.252,0.521,-0.659,0.211,-1.252,0.235,3.226,5.219,5.152,3.286,2.55,1.865,-0.488,-0.538,-1.587,-1.696,-2.64,-3.5,-4.418,-4.762,-4.228,-2.238,-0.407,-6.24,-2.519,-1.736,-1.848
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,,,,,,,,,,-1.517,-1.611,-2.018,-1.465,-7.171,-4.107,-1.942,-0.551,-0.567,-0.666,-3.368,-3.693,-2.633,0.559,1.431,-2.74,-1.997,0.222,0.65
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Primary balance, % of GDP",,,,,,0.339,-1.1,-0.851,1.447,1.538,1.885,0.554,-1.757,3.143,-6.404,-0.959,-0.339,1.185,4.21,-0.084,-0.597,-3.518,-5.738,-2.679,-3.703,2.301,2.625,1.438,1.132,3.537,-11.112,-4.791,3.401,5.28
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Government debt sustainability,"Primary balance, % of GDP",1.871,-0.978,-3.114,-2.898,-1.783,-0.498,0.568,1.22,1.142,1.646,1.926,0.687,0.851,1.342,1.312,1.564,1.467,1.283,-1.132,-4.524,-4.881,-4.084,-2.866,-2.073,-2.078,-1.869,-1.52,-0.847,-0.412,-3.582,-7.819,-5.614,-1.356,0.21
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Primary balance, % of GDP",-0.792,-1.029,-0.171,-2.019,-2.534,-2.908,-1.045,0.649,0.19,0.22,0.666,2.024,0.584,1.149,-2.588,-0.186,-0.245,0.801,0.683,-3.166,-2.102,-0.276,0.051,0.237,-0.726,0.734,0.123,0.65,1.417,1.677,-6.942,-4.936,-2.817,-1.638
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Primary balance, % of GDP",,,,,3.214,-1.24,-1.929,-0.827,1.732,-0.633,0.539,22.024,19.672,1.833,1.99,2.908,0.85,2.545,17.342,6.036,13.836,10.935,3.813,1.749,2.891,-4.462,-0.743,-0.909,6.106,9.648,-5.607,4.879,6.448,2.106
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Primary balance, % of GDP",-1.458,-0.857,-0.84,0.459,1.055,1.619,1.316,-0.073,1.018,3.141,1.298,1.425,-0.478,-0.496,-0.676,0.129,0.727,0.451,0.529,-0.884,-0.792,-0.778,-1.463,-3.176,-2.559,-1.251,-0.298,-4.308,-0.812,0.836,-4.381,-8.957,-1.336,0.291
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Government debt sustainability,"Primary balance, % of GDP",-6.128,-3.186,-5.024,-2.177,-4.684,-3.355,1.002,-5.877,-4.809,-3.989,9.027,2.221,-2.415,-0.591,1.175,3.945,3.397,2.393,4.811,-5.007,-8.746,-4.038,-4.695,-7.322,-1.655,-15.994,-14.463,-10.459,-7.474,-4.553,-12.825,-6.262,-0.977,-4.254
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Government debt sustainability,"Primary balance, % of GDP",0.329,1.11,0.991,1.039,0.608,0.254,-1.255,-1.229,-1.34,-0.291,-1.325,-2.256,-0.995,-0.602,-1.02,-1.19,-0.848,-0.495,-1.576,-0.861,-0.683,-1.589,-0.993,-1.219,-0.879,-1.584,-1.568,-2.631,-2.467,-3.714,-3.001,-1.606,-2.135,-2.557
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Primary balance, % of GDP",,,,,7.955,7.72,5.058,6.64,7.273,6.807,6.61,5.732,-1.384,0.939,0.568,0.558,0.107,-1.218,-0.497,-2.55,-2.944,1.538,-1.853,-3.74,-0.544,-2.01,2.234,3.329,3.43,5.817,-0.971,-0.88,2.486,3.441
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,,,,,,-4.036,-7.277,-6.247,-6.593,-6.365,-7.347,-7.434,-10.353,-6.48,-3.535,-1.733,1.735,0.004,1.127,-1.29,0.31,1.636,3.771,2.647,-1.213,-0.231,-3.05,-0.671
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Primary balance, % of GDP",4.124,3.066,2.097,2.697,3.615,3.844,3.982,5.158,5.97,5.832,6.179,6.239,5.32,3.086,4.235,1.325,3.996,3.666,2.431,-1.992,-0.893,-1.19,-1.16,-0.191,-0.186,0.158,0.005,1.379,0.968,-0.27,-7.184,-3.959,-2.268,-3.138
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"Primary balance, % of GDP",,,,,,,-0.409,-0.423,-1.423,-5.264,-5.18,-5.134,-2.944,-5.192,-0.111,1.551,3.093,3.084,4.215,0.568,1.057,1.748,1.326,0.862,0.34,-3.017,-2.139,-0.998,1.25,-0.273,-6.803,-1.853,1.257,1.298
