Country,Including other than depository corporations,1990,1991,1992,1994,1996,1997,1999,2009,2010,2012,2014,2015,2016,2017,2020,2021,2022,2023,Notes for:
Unknown Series,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,Q1,,,,,,,,,,,,,,Q1,,,"Domestic credit to private sector, % of GDP"
Argentina,Yes,,,,,,,,,,,,,,,,,,Q3,
Aruba,,,,,,,,,,,,,,,,,,,Q2,
Australia,Yes,,,,,,,,,,,,,,,,,,Q3,
Austria,Yes,,,,,,,,,,,,,,,,,,Q3,
"Bahamas, The",,,,,,,,,,,,,,,,,,,Q3,
Bahrain,,,,,,,,,,,,,,Q1,,,,,,
Barbados,,,,,,,,,,Q3,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,Q2,,
Belgium,Yes,,,,,,,,,,,,,,,,,,Q3,
Bhutan,,,,,,,,,,,,,,,,,,,Q3,
Bolivia,,,,,,,,,,,,,,,,,,,Q3,
Brazil,Yes,,,,,,,,,,,,,,,,,,Q3,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,Q3,
Burundi,,,,,,,,,,,,,,,,,,,Q3,
Cambodia,,,,,,,,,,,,,,,,,,,Q3,
Cameroon,,,,,,,,,,,,,,,,Q3,,,,
Canada,Yes,,,,,,,,,,,,,,,,,,Q3,
Central African Rep.,,,,,,,,,,,,,,,,,,,Q3,
Chad,,,,,,,,,,,,,,,,,,Q3,,
Chile,Yes,,,,,,,,,,,,,,,,,,Q3,
China,Yes,,,,,,,,,,,,,,,,,,Q3,
Colombia,Yes,,,,,,,,,,,,,,,,,,Q3,
Comoros,,,,,,,,,,,,,,,,,,,Q3,
"Congo, Dem. Rep.",,,,,,Q3,Q1,,,,,,,,,,Q2,,,
Croatia,,,,,,,,,Q2,,,,,,,,,,,
Czechia,Yes,,,,,,,,,,,,,,,,,,Q3,
Denmark,Yes,,,,,,,,,,,,,,,,,,Q3,
Eritrea,,,,,,,,,,,,,Q3,,,,,,,
Finland,Yes,,,,,,,,,,,,,,,,,,Q3,
France,Yes,,,,,,,,,,,,,,,,,,Q3,
Gabon,,,,,,,,,,,,,,,,Q3,,,,
"Gambia, The",,,,,,,,,,,,,Q1,,,,,Q2,,
Germany,Yes,,,,,,,,,,,,,,,,,,Q3,
Greece,Yes,,,,,,,,,,,,,,,,,,Q3,
