Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,0.7701421715568175,0.1422192327643221,0.1767139277460081,0.1311900037106709,0.1327818703747899,0.12673084340088,0.2391605956816756,0.194649278041394,0.1523394788933236,0.11955790683826,0.1289041936354522,0.123960393568297,0.4765498428187275,0.1204493755647245,0.1496110715007452,0.6510682442548134,2.893770493419574,2.034505423967162,0.3579937147720638,0.708114107378366,0.3348309413481368,0.1577832825522006,
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,6.866442970604727,6.453817575508211,6.691621231260084,6.224386157506154,6.134934674648194,7.346417021758205,5.499228433154351,3.854842068367273,5.337713781344657,5.134268074547251,5.985592778806893,5.352890831816744,5.529641022080845,4.896517208133085,4.821107101377775,4.1463579238656,4.558958193871691,5.143840397598816,4.631482482936477,2.939754858263287,4.902415261459973,4.355953400173558,
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,2.202911935650465,1.562576140535503,1.67266550379702,1.514627766495506,1.976732043081618,3.364966155276977,2.611627190864462,3.303241738942835,1.117899652671652,2.311980180605326,2.080505178555756,2.232224164466056,2.006799648123116,2.055840246751465,2.620357599529555,2.757894651115732,1.946837316627407,2.343314423882856,1.944998042144031,3.900529583050495,3.146307304112631,4.442342265303669,
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,313,"Bahamas, The",EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,419,Bahrain,EMDEs,Middle East and North Africa,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,513,Bangladesh,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,316,Barbados,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,913,Belarus,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,124,Belgium,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,7.215277572761184,5.936599849046769,7.85578384905483,8.513657693605651,9.82104013117261,9.391126144925996,7.5780237924149,9.4836327456134,9.538395931779728,8.532059394058384,7.458810704265921,7.2366713215917,6.615708780112768,8.332182186235643,8.954467535727936,9.656823737673871,10.75330725242446,8.786711345165054,9.056789619546583,6.681846354593066,6.612821944032444,9.455742718786082,
BLZ,339,Belize,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,638,Benin,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU,319,Bermuda,EMDEs,North America,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,514,Bhutan,EMDEs,South Asia,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,218,Bolivia,EMDEs,Latin America and the Caribbean,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,963,Bosnia & Herzegovina,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,616,Botswana,EMDEs,Sub-Saharan Africa,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,223,Brazil,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4030834961291268,0.2974002436767388,0.4381852341383588,0.4567676041878233,0.506659523188289,
BRN,516,Brunei Darussalam,EMDEs,East Asia and Pacific,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,918,Bulgaria,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,1.00005316188523,2.129190396114276,0.5857734155534398,0.236762096366014,0.2274010968372021,0.1264334112149531,0.1041360823290249,0.0556642152380335,0.0029248662649725,0.080270168082435,0.1240324789937371,0.0035051235370584,0.5973243623194264,0.6404663370379785,0.4203671058688722,0.2512280268071402,0.0561116736300934,
BFA,748,Burkina Faso,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,618,Burundi,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,624,Cabo Verde,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,522,Cambodia,EMDEs,East Asia and Pacific,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,622,Cameroon,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,156,Canada,Advanced economies,North America,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,1.653772337183785,2.661827221790595,1.494281042601714,1.579882545327217,1.770493105515473,2.032846685163757,2.158783447987979,3.043178760566005,2.405189656329307,2.854282621094936,3.672669049351931,4.074644490927344,3.07683173521963,3.656725882718277,4.179423416447567,4.664961298984426,4.743776168655016,5.920807014967971,5.204707765604554,5.018870191863739,5.675114152854507,5.362667399717023,
CYM,377,Cayman Islands,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,626,Central African Rep.,EMDEs,Sub-Saharan Africa,Low income,Balance sheet composition,"Debt securities held by nonresidents, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
