Country,2023,Notes for:
Unknown Series,,
Afghanistan,Q2,"Debt securities held by nonresidents, % of total"
Albania,Q2,
Algeria,Q2,
Andorra,Q2,
Angola,Q2,
Antigua & Barbuda,Q2,
Argentina,Q2,
Armenia,Q2,
Aruba,Q2,
Australia,Q2,
Austria,Q2,
Azerbaijan,Q2,
"Bahamas, The",Q2,
Bahrain,Q2,
Bangladesh,Q2,
Barbados,Q2,
Belarus,Q2,
Belgium,Q2,
Belize,Q2,
Benin,Q2,
Bhutan,Q2,
Bolivia,Q2,
Bosnia & Herzegovina,Q2,
Botswana,Q2,
Brazil,Q2,
Brunei Darussalam,Q2,
Bulgaria,Q2,
Burkina Faso,Q2,
Burundi,Q2,
Cabo Verde,Q2,
Cambodia,Q2,
Cameroon,Q2,
Canada,Q2,
Central African Rep.,Q2,
Chad,Q2,
Chile,Q2,
China,Q2,
Colombia,Q2,
Comoros,Q2,
"Congo, Dem. Rep.",Q2,
"Congo, Rep.",Q2,
Costa Rica,Q2,
Cote d'Ivoire,Q2,
Croatia,Q2,
Cyprus,Q2,
Czechia,Q2,
Denmark,Q2,
Djibouti,Q2,
Dominica,Q2,
Dominican Republic,Q2,
Ecuador,Q2,
"Egypt, Arab Rep.",Q2,
El Salvador,Q2,
Equatorial Guinea,Q2,
Eritrea,Q2,
Estonia,Q2,
Eswatini,Q2,
Ethiopia,Q2,
Fiji,Q2,
Finland,Q2,
France,Q2,
Gabon,Q2,
"Gambia, The",Q2,
Georgia,Q2,
Germany,Q2,
Ghana,Q2,
Greece,Q2,
Grenada,Q2,
Guatemala,Q2,
Guinea,Q2,
Guinea-Bissau,Q2,
Guyana,Q2,
Haiti,Q2,
Honduras,Q2,
"Hong Kong SAR, China",Q2,
Hungary,Q2,
Iceland,Q2,
India,Q2,
Indonesia,Q2,
"Iran, Islamic Rep.",Q2,
Iraq,Q2,
Ireland,Q2,
Israel,Q2,
Italy,Q2,
Jamaica,Q2,
Japan,Q2,
Jordan,Q2,
Kazakhstan,Q2,
Kenya,Q2,
Kiribati,Q2,
"Korea, Rep.",Q2,
Kosovo,Q2,
Kuwait,Q2,
Kyrgyz Republic,Q2,
Lao PDR,Q2,
Latvia,Q2,
Lebanon,Q2,
Lesotho,Q2,
Liberia,Q2,
Libya,Q2,
Lithuania,Q2,
Luxembourg,Q2,
"Macao SAR, China",Q2,
Madagascar,Q2,
Malawi,Q2,
Malaysia,Q2,
Maldives,Q2,
Mali,Q2,
Malta,Q2,
Marshall Islands,Q2,
Mauritania,Q2,
Mauritius,Q2,
Mexico,Q2,
"Micronesia, Fed. States",Q2,
Moldova,Q2,
Mongolia,Q2,
Montenegro,Q2,
Morocco,Q2,
Mozambique,Q2,
Myanmar,Q2,
Namibia,Q2,
Nauru,Q2,
Nepal,Q2,
Netherlands,Q2,
New Zealand,Q2,
Nicaragua,Q2,
Niger,Q2,
Nigeria,Q2,
North Macedonia,Q2,
Norway,Q2,
Oman,Q2,
Pakistan,Q2,
Palau,Q2,
Panama,Q2,
Papua New Guinea,Q2,
Paraguay,Q2,
Peru,Q2,
Philippines,Q2,
Poland,Q2,
Portugal,Q2,
Puerto Rico,Q2,
Qatar,Q2,
Romania,Q2,
Russian Federation,Q2,
Rwanda,Q2,
Samoa,Q2,
San Marino,Q2,
Sao Tome & Principe,Q2,
Saudi Arabia,Q2,
Senegal,Q2,
Serbia,Q2,
Seychelles,Q2,
Sierra Leone,Q2,
Singapore,Q2,
Slovak Republic,Q2,
Slovenia,Q2,
Solomon Islands,Q2,
Somalia,Q2,
South Africa,Q2,
South Sudan,Q2,
Spain,Q2,
Sri Lanka,Q2,
St. Kitts & Nevis,Q2,
St. Lucia,Q2,
St. Vincent & the Grenadines,Q2,
Sudan,Q2,
Suriname,Q2,
Sweden,Q2,
Switzerland,Q2,
Syrian Arab Republic,Q2,
Tajikistan,Q2,
Tanzania,Q2,
Thailand,Q2,
Timor-Leste,Q2,
Togo,Q2,
Tonga,Q2,
Trinidad & Tobago,Q2,
Tunisia,Q2,
Turkiye,Q2,
Turkmenistan,Q2,
Tuvalu,Q2,
Uganda,Q2,
Ukraine,Q2,
United Arab Emirates,Q2,
United Kingdom,Q2,
United States,Q2,
Uruguay,Q2,
Uzbekistan,Q2,
Vanuatu,Q2,
"Venezuela, RB",Q2,
Viet Nam,Q2,
West Bank & Gaza,Q2,
"Yemen, Rep.",Q2,
Zambia,Q2,
Zimbabwe,Q2,
