Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,7.964383602142334,7.5,7.5,7.952185869216919,8.0,8.0,8.0,8.0,8.0,8.0,8.0
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,18.0,18.39071083068848,19.0,19.0,19.0,18.61202239990234,17.39726066589355,16.44931411743164,16.0,15.9207649230957,15.0,14.75342464447021,12.71232891082764,12.5,12.71506834030151,13.19726037979126,13.5,13.5,13.5,13.97534275054932,14.5
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,,,,,,,,8.0,8.554337819417318,9.0,9.0,9.133333206176758,8.949771881103516,7.830601215362549,7.136073112487793,6.439269383748372,6.333333333333333,5.48178497950236,4.767123222351074,5.932420094807942,6.0
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",6.0,6.0,6.93989086151123,8.5,8.5,8.5,8.5,9.333333333333334,9.666666666666666,9.587214469909668,9.289617538452148,6.213698546091716,1.333333333333333,1.700456619262695,2.333333333333333,3.48036535580953,4.675799051920573,5.0,4.813296953837077,4.333333333333333,5.38173508644104,6.666666666666667,6.44990889231364,4.563470363616943,3.28310509522756,2.333333333333333,4.953551928202311,6.669406414031982,7.287671248118083,5.55890417098999,2.537340641021729,3.666666666666667,3.60547947883606,2.567123254140218
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,,,,,9.5,9.5,9.748633861541748,9.806849479675293,9.5,9.5,9.5,9.5,9.5,8.55890417098999,8.105191230773926,8.0,8.0,8.228766918182373,8.879781246185303,8.333333333333334,8.333333333333334,8.594520568847656
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",,,,,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.72465753555298,13.27808237075806,13.0,13.0,13.0,13.0,13.0,12.26775979995728,11.59999990463257,11.5,11.89863014221191
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Market perception,"Foreign currency long-term sovereign debt ratings, index from 1-21",19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.20913251241048,19.33333333333333,19.33333333333333,19.46666653951009,20.59360758463542,20.66666666666667,20.66666666666667,20.66666666666667,20.66666666666667,20.66666666666667,20.66666666666667,20.66666666666667,20.6977170308431,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
