Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,512,Afghanistan,EMDEs,South Asia,Low income,External and private sector debt,"Short-term external debt stocks, % of total",,,,,,,,,,,,,,,,,1.955384621803666,1.070364633873173,0.8565579868089227,0.8609220059693109,4.313402755700736,3.231425734049619,4.386721608011151,4.092319450025036,6.880771743681709,11.08239996113281,13.65764675564004,17.06280395269982,16.19166835830544,15.77428768313825,14.31327795148666,12.50758690416051,11.61084144291872,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Short-term external debt stocks, % of total",,83.14710976048347,77.84223906083568,73.45541936935989,65.82856858101539,13.58497740296465,6.420617080109062,9.251799863391119,5.59752236699924,3.756177268923688,3.267745682070057,2.652568724739421,2.460663572365182,9.63852408688474,0.07650843684272822,7.291902202196846,15.35397370636109,17.21384807790286,27.00684993803725,14.77773762093719,13.66986218455211,16.83771259995511,19.90519056470244,18.33626163981235,20.53477583594239,18.77917829517658,19.33741053762295,19.30077825907031,19.7277998316268,6.547124252885948,6.393610699116877,8.657897648265909,9.736805438328593,8.722999056269831
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,External and private sector debt,"Short-term external debt stocks, % of total",2.809844326164208,4.348959857689757,2.902805324476704,2.671280406095933,2.105085186238079,0.7890100388190502,0.974223116376171,0.5248439286935263,0.6061534397397376,0.6927360936570776,0.8724663364626378,0.8733251289042125,0.4668137269673667,0.6122302191527469,1.921933431105166,3.020786778153397,9.167569835137217,12.22908859790947,20.89144885939485,20.1294995654577,24.51712915309321,18.85823373512094,21.84675183152888,25.31642328571744,35.7700129154388,39.02644670156441,36.35199243755724,36.73342822416729,40.61279103022226,41.22748920624237,34.44538428063856,21.63826790719627,24.46510082226951,25.19789686987707
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"Short-term external debt stocks, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,External and private sector debt,"Short-term external debt stocks, % of total",11.5042839138635,14.41803283574567,19.17425337558247,17.78685123400553,19.22182677168881,17.02139483941865,11.0804028999464,12.73274791605957,15.6204298489156,14.85481221218292,13.54965343784974,16.53319438257137,13.24180850290669,11.78818292779541,12.20590646140444,18.92449303540245,21.52898854808525,19.00806545019438,15.32850192337739,12.7855567907025,17.04637329596211,17.47908074554561,24.04555634445774,26.16250552828567,16.67960422973975,12.40586159673731,7.667762279084636,6.312164472098425,4.582720325893312,4.147082913986321,8.182837992802918,7.020062036593348,6.975264245371104,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Short-term external debt stocks, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,4.027449360479408,3.416262541731958,7.392092591347958,9.100972485591297,8.152670097495188,5.611166366894369,6.376200382617362,6.366464945367166
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"Short-term external debt stocks, % of total",16.71062253955553,20.62633605092658,23.57866217443648,13.37745151531445,9.549235694875012,21.62007421113433,21.14116731285165,24.94163592701173,21.87636714925226,19.36309266325398,18.87562749338461,13.10444220928743,10.00184659790614,13.69671015428929,15.80284683354404,26.79175807367979,23.75561931608176,15.89230568679115,14.98202209911429,14.42522580601032,12.96011987277013,18.01844556192014,18.05285540595539,24.42442755206785,22.03674551925751,33.54368514436923,22.5814925067195,24.56860994499701,24.39295744520283,23.87590304924421,16.67207944565733,17.853250780198,19.81987826295072,21.14858431004694
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Short-term external debt stocks, % of total",,,,0.01493406328804532,0.4976399098420809,0.5773532985197568,0.2689493807342918,3.445653171833105,5.61646788640829,4.81128384626925,4.361567884231568,2.97584160474476,12.79405023403649,20.23915294293148,19.45050362105491,15.12063413629718,14.34673742691634,16.24424305243963,14.41615026181333,10.72284436883428,10.39678541227036,12.19425560549557,11.02055715637903,13.24574388895178,10.6154452697621,7.515008552316445,10.87317352266281,8.688319371280956,10.57013342287109,13.41759931408111,12.72121820580336,11.04205799984266,22.03179986670724,20.83190844111556
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Short-term external debt stocks, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,External and private sector debt,"Short-term external debt stocks, % of total",,,,,,,,,,,,,,34.09763925549981,31.07512682592964,30.29732486322419,29.57279304257469,27.70901389170663,27.31696362344139,24.43682580539414,23.46234261758481,23.25823686067607,23.75511059123616,22.89687492225535,23.0436636123658,24.38189714120616,24.41899179135455,23.51406545169185,22.54815751295247,22.07063711727599,21.06944925908829,24.47018325755016,26.0355762729219,25.51040118186313
