Country,Source (main series),Type of QEDS (main series),2007,2013,2014,2020,2021,2023,Notes for:
Afghanistan,IDS,,,,,,Q1,,External debt indicators
Albania,IDS,,,,,,,,
Algeria,IDS,,,,,,,,
Angola,IDS,,,,,,,,
Antigua & Barbuda,QEDS,SDDS,,,,,,Q2,
Argentina,IDS,,,,,,,,
Armenia,IDS,,,,,,,,
Australia,QEDS,SDDS,,,,,,,
Austria,QEDS,SDDS,,,,,,,
Azerbaijan,IDS,,,,,,,,
"Bahamas, The",QEDS,SDDS,,,,,,,
Bangladesh,IDS,,,,,,,,
Belarus,IDS,,,,,,,,
Belgium,QEDS,SDDS,,,,,,,
Belize,IDS,,,,,,,,
Benin,IDS,,,,,Q1,,,
Bhutan,IDS,,,,,,,,
Bolivia,IDS,,,,,,,Q3,
Bosnia & Herzegovina,IDS,,,,,,,,
Botswana,IDS,,,,,,,,
Brazil,IDS,,,,,,,,
Bulgaria,IDS,,,,,,,,
Burkina Faso,IDS,,,,,,,,
Burundi,IDS,,,,,,,,
Cabo Verde,IDS,,,,,,,,
Cambodia,IDS,,,,,,,Q3,
Cameroon,IDS,,,,,,,,
Canada,QEDS,SDDS,,,,,,,
Central African Rep.,IDS,,,,,,,,
Chad,IDS,,,,,,,,
Chile,QEDS,SDDS,,,,,,,
China,IDS,,,,,,,Q3,
Colombia,IDS,,,,,,,,
Comoros,IDS,,,,,,,,
"Congo, Dem. Rep.",IDS,,,,,,,,
"Congo, Rep.",IDS,,,,,,,,
Costa Rica,IDS,,,,,,,,
Cote d'Ivoire,IDS,,,,,,,Q3,
Croatia,QEDS,SDDS,,,,,,,
Cyprus,QEDS,SDDS,,,,,,,
Czechia,QEDS,SDDS,,,,,,,
Denmark,QEDS,SDDS,,,,,,,
Djibouti,IDS,,,,,,,Q2,
Dominica,IDS,,,Q3,,,,Q3,
Dominican Republic,IDS,,,,,,,Q3,
Ecuador,IDS,,Q3,,,,,Q3,
"Egypt, Arab Rep.",IDS,,,,,,,Q3,
El Salvador,IDS,,,,,,,,
Eritrea,IDS,,,,,,,,
Estonia,QEDS,SDDS,,,,,,,
Eswatini,IDS,,,,,,,,
Ethiopia,IDS,,,,,,,Q3,
Fiji,IDS,,,,,,,,
Finland,QEDS,SDDS,,,,,,,
France,QEDS,SDDS,,,,,,,
Gabon,IDS,,,,,,,,
"Gambia, The",IDS,,,,,,,,
Georgia,IDS,,,,,,,,
Germany,QEDS,SDDS,,,,,,,
Ghana,IDS,,,,,,,,
Greece,QEDS,SDDS,,,,,,,
Grenada,IDS,,,,,,,,
Guatemala,IDS,,,,,,,,
Guinea,IDS,,,,,,,,
Guinea-Bissau,IDS,,,,,,,,
Guyana,IDS,,,,,,,,
Haiti,IDS,,,,,,,,
Honduras,IDS,,,,,,,,
"Hong Kong SAR, China",QEDS,SDDS,,,,,,,
Hungary,QEDS,SDDS,,,,,,,
Iceland,QEDS,SDDS,,,,,,,
India,IDS,,,,,,,,
Indonesia,IDS,,,,,,,Q3,
"Iran, Islamic Rep.",IDS,,,,,,,,
Iraq,IDS,,,,,,,,
Ireland,QEDS,SDDS,,,,,,,
Israel,QEDS,SDDS,,,,,,,
Italy,QEDS,SDDS,,,,,,,
Jamaica,IDS,,,,,,,,
Japan,QEDS,SDDS,,,,,,,
Jordan,IDS,,,,,,,Q3,
Kazakhstan,IDS,,,,,,,,
Kenya,IDS,,,,,,,Q3,
Kiribati,QEDS,SDDS,,,,,,,
"Korea, Rep.",QEDS,SDDS,,,,,,,
Kosovo,IDS,,,,,,,,
Kyrgyz Republic,IDS,,,,,,,,
Lao PDR,IDS,,,,,,,,
Latvia,QEDS,SDDS,,,,,Q2,,
Lebanon,IDS,,,,,,,,
Lesotho,IDS,,,,,,,,
Liberia,IDS,,,,,,,Q3,
Lithuania,QEDS,SDDS,,,,,,Q3,
Luxembourg,QEDS,SDDS,,,,,,,
Madagascar,IDS,,,,,,,,
Malawi,IDS,,,,,,,,
Malaysia,QEDS,SDDS,,,,,,,
Maldives,IDS,,,,,,,,
Mali,IDS,,,,,,,,
Malta,QEDS,SDDS,,,,,,,
Mauritania,IDS,,,,,,,,
Mauritius,IDS,,,,,,,,
Mexico,IDS,,,,,,,,
Moldova,IDS,,,,,,,Q3,
Mongolia,IDS,,,,Q2,,,,
Montenegro,IDS,,,,,,,,
Morocco,IDS,,,,,,,Q3,
Mozambique,IDS,,,,,,,,
Myanmar,IDS,,,,,,,,
Namibia,QEDS,SDDS,,,,,,,
Nepal,IDS,,,,,,,Q3,
Netherlands,QEDS,SDDS,,,,,,,
New Zealand,QEDS,SDDS,,,,,,,
Nicaragua,IDS,,,,,,,Q3,
Niger,IDS,,,,,,,,
Nigeria,IDS,,,Q1,,,,,
North Macedonia,IDS,,,,,,,,
Norway,QEDS,SDDS,,,,,,,
Pakistan,IDS,,,,,,,Q3,
Palau,QEDS,SDDS,,,,,,Q3,
Panama,QEDS,SDDS,,,,,,,
Papua New Guinea,IDS,,,,,,,Q2,
Paraguay,IDS,,,,,,,,
Peru,IDS,,,,,,,,
Philippines,IDS,,,,,,,,
Poland,QEDS,SDDS,,,,,,,
Portugal,QEDS,SDDS,,,,,,,
Romania,QEDS,SDDS,,,,,,Q3,
Russian Federation,IDS,,,,,,,Q3,
Rwanda,IDS,,,,,,,Q2,
Samoa,IDS,,,,,,,,
Sao Tome & Principe,IDS,,,,,,,,
Saudi Arabia,QEDS,SDDS,,,,,,Q3,
Senegal,IDS,,,,,,,,
Serbia,IDS,,,,,,,,
Seychelles,QEDS,SDDS,,,,,,Q3,
Sierra Leone,IDS,,,,,,,,
Singapore,QEDS,SDDS,,,,,,,
Slovak Republic,QEDS,SDDS,,,,,,Q3,
Slovenia,QEDS,SDDS,,,,,,,
Solomon Islands,IDS,,,,,,,Q2,
Somalia,IDS,,,,,,,,
South Africa,IDS,,,,,,,,
Spain,QEDS,SDDS,,,,,,,
Sri Lanka,IDS,,,,,,,Q3,
St. Lucia,IDS,,,,,,,,
St. Vincent & the Grenadines,IDS,,,,,,,,
Sudan,IDS,,,,,,,,
Suriname,QEDS,SDDS,,,,,,,
Sweden,QEDS,SDDS,,,,,,,
Switzerland,QEDS,SDDS,,,,,,,
Syrian Arab Republic,IDS,,,,,,,,
Tajikistan,IDS,,,,,,,,
Tanzania,IDS,,,,,,,,
Thailand,IDS,,,,,,,Q3,
Timor-Leste,IDS,,,,,,,,
Togo,IDS,,,,,,,,
Tonga,IDS,,,Q2,,,,,
Trinidad & Tobago,QEDS,SDDS,,,,,,Q3,
Tunisia,IDS,,,,,,,Q3,
Turkiye,IDS,,,,,,,,
Turkmenistan,IDS,,,,,,,,
Uganda,IDS,,,,,,,,
Ukraine,IDS,,,,,,,,
United Kingdom,QEDS,SDDS,,,,,,,
United States,QEDS,SDDS,,,,,,,
Uruguay,QEDS,SDDS,,,,,,,
Uzbekistan,IDS,,,,,,,,
Vanuatu,IDS,,,,,,,,
Viet Nam,IDS,,,,,,,,
West Bank & Gaza,QEDS,SDDS,,,,,,Q3,
"Yemen, Rep.",IDS,,,,Q1,,,,
Zambia,IDS,,,,,,,,
Zimbabwe,IDS,,,,,,,,
