Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Total external debt stocks, % of reserves excluding gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,,,,,,,,,,,,,,,,88.19812766764991,70.8355158677101,58.35243276697732,47.17482907766394,43.13618261476726,40.17077736946562,37.86811941045173,41.6721528304595,40.08515960108231,38.2973811850804,36.66683945822804,35.83806903589523,36.10756747941031,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,533.2010728830155,431.199916538441,190.3593768760181,175.1738591390255,167.1839356374638,162.3006950292246,158.3234518577421,182.255514990299,156.0082543469284,140.731785462262,153.5912726178969,118.1307311421776,151.4269166364146,142.3053360463117,140.9832498496436,183.5046276048582,199.0210510246722,220.1444907473346,270.8604810338894,293.5409680410489,318.8059724682311,326.8759576461746,273.8213651899106,279.1617515355763,278.1533997825941,252.0209686153039,255.7372771961303,225.4560826648278,202.0723562620067,205.5952740357982,180.7326688092423
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",3884.58434318292,1917.371278133442,1877.172475368854,1781.643899829007,1130.919400191103,1648.185483867713,794.5992293287991,383.9665989418588,448.2765858320706,623.1903358891442,211.758284004439,125.8087513483067,99.14153330855214,71.75726950211033,51.83267059454883,30.33937899381897,7.57155857166632,5.557031023858367,4.35661353951714,4.974679847031432,4.460223621892525,3.311271526496937,2.883312897138369,2.694032124626336,3.073855403388542,3.228834998811418,4.77573760752585,5.846285660362659,7.117855342486204,8.677071751150487,10.59259576055833,16.0217210461215,11.54734254131189,10.26911652333976
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,,,5037.342855289248,1897.783818626291,2534.499891942186,5326.979355825923,2172.006054694617,814.8359826863813,1199.251615633831,2428.207975946024,1437.181723676469,710.4431084373412,382.8258764578603,121.5496892472745,106.6537112155238,87.27779094430008,148.3982405929024,136.1656253420792,128.2539167885555,116.0566732229718,137.6158367451219,169.886614945273,205.0038613349499,242.6226415949727,336.5498630013544,400.9725163697238,381.345071179549,474.4410064861387,456.7744872659978,440.1889703945341,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,,,,,,,,,,,,,,,,,335.8467520059426,349.8458676718274,311.0123332755234,274.745112964471,289.1163606848292,191.4348046510697,170.687948862347,176.2121686254837,193.3270273847919,193.0655966952107,237.9795354079452,308.1610158710242,212.7663424241584,201.4132950830951,214.3881786800955
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",1360.475583194524,1093.691685375284,686.7617689420739,469.0075391379761,524.1462082198663,691.3104774759414,613.9306824543373,574.6074073456238,571.6860836458965,578.6738510307322,596.7451737928654,1048.919503888652,1414.0088087272,1154.791289455312,889.6239494059363,481.2144132012969,384.8152063175876,270.3949812280646,289.2727310644099,290.0552235947598,254.6402232739393,330.546190577623,350.3922844207326,533.7910712912766,530.0134454963188,756.6652621161279,500.0605900564712,426.0265630119005,434.3496776769964,665.2476280251253,716.8537332018178,675.7688140408396,601.1978514635362,1349.213193601124
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,985.6725423900824,664.0578775997458,372.2210560660409,334.4384910955211,279.1197259044205,286.4823855351408,351.5804646510575,337.2693855564159,444.6232061014896,413.76609496445,397.6538214731482,384.8252740858933,294.231880401577,199.5379845808961,185.7605123201806,256.7876015441329,246.3017366563988,338.036688621028,383.4877126670197,424.6234980855685,385.5503131884179,574.4197029422957,497.4400712822197,447.146705034424,441.9962004407599,474.7322822077233,417.0515058988576,481.7370721731164,427.3115072975505,357.8861759069651,413.4187266119315
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Total external debt stocks, % of reserves excluding gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
