Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Total external debt stocks, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,External and private sector debt,"Total external debt stocks, % of GDP",,,,,,,,,,,,,,,,,14.14215895740072,23.64463199041608,20.82113033990483,20.55539626802586,15.89458339967373,13.89229204080492,12.71681823338097,12.8298198636589,12.27136819848661,12.94768542753153,14.40649326526082,14.57388465233279,14.60929550719895,14.10090038408561,15.09769722089789,24.88650853583427,23.45508565493882,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Total external debt stocks, % of GDP",,38.37102447861966,75.0441031079478,53.80106715947981,37.40428605675561,15.92167722068008,15.37482651875,22.86307929614874,24.3590934296875,24.09139609224058,32.21507962388745,29.38670451120163,27.14873094986201,27.63113469791481,22.32073345581071,26.40544894560357,28.29474856789568,27.78499866722862,33.04789226612841,38.23616441215543,45.54387812515708,50.26896888208388,59.9194733812074,67.63959728019398,64.26432364487393,74.16846879006059,71.79415764879447,75.08966907301004,63.67411998878406,60.22823058964867,68.96633820892576,61.47062801100978,54.78692889797202,49.49690741084796
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,External and private sector debt,"Total external debt stocks, % of GDP",41.91378978919474,56.24869802388944,51.20614027651926,47.50522538483791,65.67494988424117,72.38988252661322,66.05422774050447,59.09079505173369,58.67822152131098,53.20315666805003,42.85168257783836,38.28791672361268,37.45044798637753,32.3476754154759,24.38774730650391,15.95748288639569,4.792892831724676,4.30253662394812,3.459588278838477,4.932437858924805,4.079629838794049,2.772716352664749,2.428280778580988,2.283667339497869,2.310671979760864,2.491491105155365,3.022173550430395,3.003525340940191,2.935879711270032,2.84047925822684,3.142412075630864,3.969561202954531,3.159697628384397,2.924849377614371
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,External and private sector debt,"Total external debt stocks, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,External and private sector debt,"Total external debt stocks, % of GDP",68.34695721183678,73.85807039881831,107.0698010718467,155.0283712831794,227.4472464833837,185.6066332435049,131.921675101326,105.9679820302514,135.5123933111335,141.8182549880414,87.43924023284973,80.30116381518755,59.65613449365433,51.16823774434402,41.61510240191916,33.1026261128993,18.90987378209656,18.29712819982839,17.61486766136957,28.84105601561723,31.97600532762921,31.02205320994722,28.242465147478,31.70953900892399,31.51719440094158,41.97422642675181,56.79571370614295,48.14368040074741,60.9666119174568,73.70457639961664,114.4356800841807,88.27914768023403,48.93634297966229,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Total external debt stocks, % of GDP",,,,,,,,,,,,,,,,,,,,34.96864809328626,41.59181883602125,40.4121264046726,37.10091654446042,49.59302459776386,45.49197545015456,45.41400592552977,40.47741635351426,41.30526375442459,39.53451106621614,39.65850285285552,48.27180090575748,50.09233042921204,45.42749074118316,39.97747278966223
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,External and private sector debt,"Total external debt stocks, % of GDP",39.53678005359946,30.98060040386076,26.8213939537193,24.46077664715293,26.08927383247347,34.237140078649,36.52713811990193,39.16839988324436,42.33568921437633,47.92263696026473,47.22539037046944,50.81200363240253,131.8894098679507,114.7521876623066,101.8729107380951,65.6328194036322,51.06282441380554,41.96221854171804,35.69081816042031,39.95276056088311,29.81723332011706,27.07974373598487,24.13073357185,24.56780900518586,27.28707271068497,27.57891546695223,32.62338187320169,35.08914737592431,52.97686242922329,62.82646764675599,66.34117379738225,50.53720454884002,39.27314626276834,39.1166837415524
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,External and private sector debt,"Total external debt stocks, % of GDP",,,,16.03856589221557,33.07539342592592,28.8000721056721,32.59511899812148,38.95580350823673,42.5075112526427,55.42526177777778,53.26454884414225,66.59228192162418,72.37160312710436,71.11261026718917,58.92967769639363,40.20050596938776,33.50381426535088,33.4774595416033,30.97659143371634,57.06474617946346,68.11199426133909,73.0703279954644,71.95184590168566,78.06033981926085,73.69212908699397,83.68256629204964,93.45366098141476,88.73337154940575,86.09512176031465,87.2640292701373,99.6676190120234,99.44169149938756,75.40827553346315,61.74294799252623
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,External and private sector debt,"Total external debt stocks, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
