Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"General government gross debt, % of average tax revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,,,,,,,5168.425591314786,4042.425657951147,3659.473640813145,3082.677840785238,343.3646231291975,300.8193785491691,284.6856481606751,242.7080718720937,114.9827062965166,112.0547330037899,100.9702626813246,103.1363653723724,129.9661614628679,136.7483036817348,126.0372993404846,119.4792367103468,110.3069122117031,94.86035922864497,116.4765702213771,171.9885536691952,163.2046337910152,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,,415.5424726458525,409.7289992634065,392.4555006290296,367.0488951734682,348.8832298318843,368.9368350442032,346.7650533915476,330.8154150323812,335.0114765133744,326.2912664397053,308.2292075544422,317.3811111961147,343.4323790465611,332.2313699354324,341.9761327438296,357.6955345333942,405.1645592710503,414.3797779693633,424.3029741192019,422.046655737104,413.8214542880789,399.8748740844483,387.7644305233924,436.1371337967357,432.9483573077504,377.2771547780293,345.4642167732972
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,,,,,423.7629828111106,359.1799017576587,233.3332385005306,183.4363291933215,150.9976421494225,105.8948613049495,59.26681978784362,66.5893367929731,99.29383690015256,178.1643701049267,117.6001294129763,93.53455386241023,84.46210085735137,104.8980623176479,125.9764053475388,180.6674431174839,239.4311167498324,219.3685593546203,294.2772121400244,359.3349593779056,438.9333140654713,264.9713219133588,205.182369322643,267.306679540751
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of average tax revenues",601.3808257382717,607.5375132985984,585.4924019645606,552.7895984195192,549.7787083875269,602.9261297872781,562.1595372563509,533.6327339389812,629.2146950971584,641.4422199928667,644.686132063995,723.2942773188018,774.4916721805213,766.9859096567765,736.6378551387924,567.9237666455012,546.381492343283,476.9838497932674,465.9766245235601,617.0914169031688,550.3122062139695,562.9505857576279,536.5271129514056,587.4056355490444,621.6108180306197,607.5191168218244,528.1383195425145,565.3421277382328,535.4355886628218,515.5551294291778,614.0130731230055,585.1919261772538,534.1907604011224,494.3439917088893
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,134.6119904870672,145.0310588585673,153.2983631098663,165.8260524613128,175.5440448036747,170.8252638383214,184.1511012844791,209.8751986613194,220.2079807523102,258.8965917756755,793.8499593633169,674.9852150692002,635.7033858673333,432.9521982405644,381.7790410060073,335.0765916803392,290.2131187080259,298.7500675859165,234.3427520782428,209.9722707268924,218.0670024171727,234.5692535645798,241.0461174953104,283.4666101507037,286.1468777390243,307.545875305335,459.7225167685802,484.497465059818,559.8685310847069,435.8535744226902,456.6971040582222,833.3960402992435
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,245.1007418997896,279.4876693829357,271.5864270903728,235.5351314589074,237.920525519856,228.6913938382009,229.8149925520482,198.3782627614104,158.9020940449557,146.6386449809856,112.5100851165317,96.74966037630936,97.00802799500153,241.3093473092138,238.3411239688898,252.3951207158894,247.702443734527,245.4852890531919,262.5075091405154,292.6283666406048,340.9791626316718,354.1318769878848,334.4058097282013,322.4968650712739,404.7478960544622,380.4312971510388,295.9030259937962,303.1733706128085
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"General government gross debt, % of average tax revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
