Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Fiscal balance, % of 10-year moving average GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,,,,,,,,,,,,,,,,,-1.278320338749399,0.358259070242854,-1.146333180048159,-2.86891982284486,-2.11116867031657,0.1748370275158964,-0.8881057734525626,2.056092660412911,-1.362254587502999,-2.833302537038946,-0.4791619927117098,-0.9918499433289496,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,,,-27.17439832629525,-21.0358868618244,-17.53256026476804,-14.3298699013104,-11.80871984712397,-9.955333506238771,-7.821015278930383,-7.849239920570229,-5.160301494352015,-4.804518668173843,-4.677982809776693,-7.272775052526914,-9.467662501159271,-5.017870704069217,-4.847767892002657,-4.514661437059987,-6.503499222881937,-6.629398193858052,-5.111861898937065,-1.733572914625173,-1.639194003585279,-1.913539423817002,-2.191739081295556,-7.450665467077057,-5.552390514838915,-4.836374215036526,-1.533881363635966
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",5.949370126151867,3.466829166187822,-2.417185236981438,-16.50424292097185,-8.810442179634078,-3.042984501556882,6.404950112596261,4.584419660971742,-6.315465887312778,-3.197170294889992,16.576705267036,5.217600286756013,0.3350988185099101,11.45031719971043,10.31570789856789,19.27502035828098,21.84528072153304,7.675382460556874,13.31764369142998,-9.442974954252769,-2.115878689738626,-1.764223319439703,-6.563356505779945,-1.188809509446274,-10.30670219044153,-18.13181698935179,-15.08667706592131,-9.548357823343538,-7.860863332454763,-10.35290920616839,-11.1364994046691,-7.687418526115271,-3.579782082233443,-4.205290968059568
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,,,,,,,1.061310450042331,1.539619757811389,2.803554709801634,2.947632932211989,-0.1275679555688571,-2.178911964950136,-4.082445777209701,-4.101266451705927,-4.003773503536317,-0.3746433433722562,0.4203666839192579,-1.594351999378239,3.10343430853106,2.016353669251633,1.589726970287939,4.092552185445743,3.438861176835654,2.83021931018392,2.509968327539586,-1.044984701189042,-1.260591399915446,5.810182796904789,2.771232728842832
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,,58.04475013747225,-2.046690214702588,-33.2466169722235,-81.85158901068125,18.41439929581226,20.12250147771501,-16.17176943810194,-26.21683421465507,5.36476977311227,30.54201791547029,33.6931508277879,12.86370432108042,-12.01413992993227,-15.20117672677925,7.151095038647278,18.12292397608114,8.649966265122497,-0.5710068915885108,-9.920253340244734,-4.359956937107071,-7.078802324799367,-11.02915984134121,4.189562052455819,1.448765060321022,-3.351067206532957,7.96640017257295,1.409802342255315,-0.2020627590217674
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",0.2051239669421526,-6.160414064307194,-1.205436649214663,-3.555060458916497,-6.338612436041974,-5.203350482315113,-2.210591007705543,0.0,-2.275072444678609,-4.320074060243964,-6.421743463477547,-11.34169215314209,-11.40799349992008,-9.544241189651665,-5.266456547155105,-6.103319681560904,-10.07650825196578,-8.045729921133107,-7.458940419769799,-21.24965903783279,-0.2981834651430164,-3.627603160667252,-1.172128527157071,-4.345999429169442,-2.986485319516411,-2.820293949685913,-0.1664513284740219,-3.26842410869818,-3.052295740920235,-5.002008488122137,-6.360761976816447,-5.124068152031455,-4.98823078474884,-2.580158829025226
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",-33.63031754095191,-15.54422556718368,-7.573763644349296,-0.079235993887152,-3.304589123506342,-4.344440000842251,-5.086651351267768,-2.99574287361208,-2.606263888877034,-4.421259757449089,-3.747785319338333,-5.379963262395436,-2.159284036582927,1.94145199784433,5.585569264892448,5.204333206457754,2.846232934227389,1.43866884955666,0.7311024926384073,-3.531836293142511,-2.963851304322441,-6.175895679835189,-6.647059009374836,-7.309853394269178,-10.24802486019039,-14.6596496995633,-17.17464656003543,-17.13201823623853,-14.52282030952272,-12.68358495205838,-23.34492841623615,-13.78574324427024,-14.11630289590043,-19.7365068551116
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,,,,,,,,,,,-3.475063653749197,-3.511927746468779,-4.301982550868292,-3.181407102225831,-11.04582271647118,-7.094382773898697,-4.03764766649553,-2.139285293104168,-2.217514168519349,-2.631916334192284,-6.345230516216781,-6.984758719402641,-6.152884540393181,-2.305590169319673,-1.301347788506431,-6.441078178481646,-5.820959649189692,-3.026643658829613,-2.98208544249015
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,-1.306458153866543,-3.439073359073352,-3.081524807527801,0.1648319348110782,0.1181083006768792,0.8848956628477856,-1.078946867625794,-3.964919130744567,2.328789526686812,-10.89730219015065,-3.733371592539458,-3.174000056486006,-1.338426504351537,1.88557701056462,-2.929457286921784,-3.637392378599259,-6.991809576452705,-9.401263792948775,-6.446429756395704,-7.966340545625588,-1.634915990972164,-1.593364020339544,-2.891918447307832,-3.079564914792499,-0.2851482739979875,-14.29928439519852,-9.635033227937974,-0.5415511829812228,1.934519375055168
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",-0.3507101583093377,-3.874314376628374,-6.323312318098885,-6.13715505942359,-4.872092672379394,-3.309755884000344,-1.839383131784946,-0.6191394137761466,-0.3091218269028839,0.8370255086502325,1.608677276569921,-0.0387118439815367,0.251266684650684,1.367011130556155,1.741394088693869,2.270130736210562,2.378523198248757,2.011764137587303,-1.522306146182413,-6.034903822111456,-6.816681805490539,-6.053270217482136,-4.542243864485082,-3.54157577062619,-3.57630681339759,-3.299143501990227,-2.83673966015236,-2.038846675712347,-1.505480428342779,-5.305903077064113,-10.03118615496778,-7.945363620077386,-2.962574155375777,-1.242045037782056
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",-3.321276171879038,-3.840097203465753,-2.774650079730991,-5.762035935888255,-6.321622519274822,-7.66733605085019,-5.341467365133733,-2.85861824367903,-3.190175582881841,-3.105343897795414,-2.455428805136089,-0.7768960021073464,-2.179950813211935,-1.594444261442664,-5.629647345949669,-2.988059302559688,-3.056385071806473,-1.677556920695453,-1.83227281432087,-6.115380234346498,-5.057979060678658,-2.965880355741273,-2.503187309286353,-2.194192008670832,-3.058363611994,-1.17696418369388,-1.741828185467944,-0.9317461836662772,0.1969056835659647,0.6566333594826795,-8.645878987168173,-6.495304632830867,-4.225275630994117,-3.011985546738903
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Government debt sustainability,"Fiscal balance, % of 10-year moving average GDP",,,,,,,,,,-2.416114740286921,0.32572946413136,44.20487678141596,36.4803322887903,2.915326454367556,3.220812839213016,5.963747763087026,1.689333840779655,6.729514067275183,51.00029397853912,12.47559957641062,28.66579213236372,22.4734732333026,6.755120547917839,2.722220552576756,4.028194228778458,-5.923165199126462,-1.456498046939373,-1.789896561989795,7.664394032334257,11.9517139327725,-7.261960321935716,5.72267606723789,10.46876007613221,2.571333992792193
