Country Code,IMF Country Code,Country,Country group,Geographical region,Income group,Indicator Type,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,EMDEs,South Asia,Low income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,36.77639412484832,40.51503608974452,40.79681218787467,42.08297456082632,40.71473793145553,44.2677579713836,49.68338743303735,49.92443589283789,49.96371937826235,49.29498472939076,47.66228390885289,49.38999438300114,51.88197195299568,49.28593052706895,47.78223364660014
DZA,612,Algeria,EMDEs,Middle East and North Africa,Lower middle income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,171,Andorra,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,EMDEs,Sub-Saharan Africa,Lower middle income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,311,Antigua & Barbuda,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,EMDEs,Latin America and the Caribbean,Upper middle income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,911,Armenia,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,EMDEs,Latin America and the Caribbean,High income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Advanced economies,East Asia and Pacific,High income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
AUT,122,Austria,Advanced economies,Europe and Central Asia,High income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,11.83889115051453,11.00455019230845,10.38042479282482,9.102918663248367,8.299430402918347,6.671104078376422,4.614632452946409,3.949606797386386,3.899214641979602,2.213772805783564,2.234391164429518,2.328363404137853,1.159878260741632,0.7708319198382918,0.9869168515710252,1.124849368922428,1.015048927851668,0.775716938008876,0.6466555573328404,0.5082026271545959,0.4139109350955912,0.3023172745823613,0.2319352069565804,0.1798330055650931
AZE,912,Azerbaijan,EMDEs,Europe and Central Asia,Upper middle income,Balance sheet composition,"General government debt in foreign currency, % of total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
