States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16(RE),2016-17(BE)
Unknown Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Non-Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,2.22,2.44,1.72,4.93,5.91,4.35,8.04,5.68,6.73,9.72,9.7,11.3,15.7,18.3,23.5,24.2,28.1,24.3,57.1,49.8,73.1,67.2,76.3,74.5,81.9,83,56.4,87.9,124.1,140.1,118,154,175.1,180.4,317.468684,170.049136,204.971578
Bihar,3.36,4.09,4.35,3.28,3.96,3.26,4.61,8.25,5.35,9.94,15.9,16.2,13.3,13.4,13.4,15.7,8.9,9.8,23.8,61.1,48.8,40.1,49.1,41.1,12.4,37,30.2,17.1,25.1,52.7,39.7,59.1,65.5,83.5,111.784913428,285.054085,160.14268
Chhattisgarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.5,10.6,9.7,22,12.3,4.3,-0.3,1.3,10.3,17.6,-4.1,8,26.6,50.6,80.751271,68.315245,81.112223
Goa,-,-,-,-,-,-,0.61,0.72,0.64,0.95,1,1.3,0.9,0.6,0.4,1,1,1.3,2.7,3.4,4.1,4.1,3.8,4.5,5.5,6,4.9,5.4,8.1,12.4,5.7,8.8,11.5,13.5,9.501304,30.379223,32.595155
Gujarat,2.47,2.54,3.77,3.98,5.2,5.14,9,9.76,7.35,9.52,18,18.8,11.7,5.3,12.9,17.5,23.6,31.8,56.2,67.9,79.9,65.1,60.8,91.6,87,62.7,56.5,47.7,104.4,151.5,150.7,110.3,164.9,184.2,183.1922,221.6705,246.0864
Haryana,1.12,1.02,1.89,1.34,2.35,2.3,1.7,2.16,2.89,3.93,3.9,3.8,4.4,4.8,5.3,9.9,11,11.3,22.4,21.3,22.6,27.4,14.7,29.3,12.1,2.9,-11.8,12.6,65.6,100.9,72.6,71.5,103.6,83.1,125.860603,303.956656,251.159705
Jharkhand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.4,21.9,16.6,36.5,49.2,52.6,62.2,37.5,17.8,48.4,19.3,34,22.2,65.639409,112.936232,56.328369
Karnataka,2.26,1.18,2.8,2.88,5.63,5.5,5.14,5.18,4.97,6.25,5.6,9.2,13.9,12.5,15.1,14.6,19.4,16.1,31.1,42.8,42.2,58.7,52.8,45,36,36.9,46.9,53.3,87.3,108.7,106.9,123,145.1,170.9,195.766348,205.605223,256.570864
