Date,Name of State / UT,Total Confirmed cases
30-01-2020,Kerala,1
31-01-2020,Kerala,1
01-02-2020,Kerala,2
02-02-2020,Kerala,3
03-02-2020,Kerala,3
04-02-2020,Kerala,3
05-02-2020,Kerala,3
06-02-2020,Kerala,3
07-02-2020,Kerala,3
08-02-2020,Kerala,3
09-02-2020,Kerala,3
10-02-2020,Kerala,3
11-02-2020,Kerala,3
12-02-2020,Kerala,3
13-02-2020,Kerala,3
14-02-2020,Kerala,3
15-02-2020,Kerala,3
16-02-2020,Kerala,3
17-02-2020,Kerala,3
18-02-2020,Kerala,3
19-02-2020,Kerala,3
20-02-2020,Kerala,3
21-02-2020,Kerala,3
22-02-2020,Kerala,3
23-02-2020,Kerala,3
24-02-2020,Kerala,3
25-02-2020,Kerala,3
26-02-2020,Kerala,3
27-02-2020,Kerala,3
28-02-2020,Kerala,3
29-02-2020,Kerala,3
01-03-2020,Kerala,3
02-03-2020,Delhi,1
02-03-2020,Kerala,3
02-03-2020,Telangana,1
03-03-2020,Delhi,1
03-03-2020,Kerala,3
03-03-2020,Telangana,1
04-03-2020,Delhi,1
04-03-2020,Haryana,14
04-03-2020,Kerala,3
04-03-2020,Rajasthan,1
04-03-2020,Telangana,1
04-03-2020,Uttar Pradesh,6
05-03-2020,Delhi,2
05-03-2020,Haryana,14
05-03-2020,Kerala,3
05-03-2020,Rajasthan,1
05-03-2020,Telangana,1
05-03-2020,Uttar Pradesh,7
06-03-2020,Delhi,3
06-03-2020,Haryana,14
06-03-2020,Kerala,3
06-03-2020,Rajasthan,1
06-03-2020,Telangana,1
06-03-2020,Uttar Pradesh,7
07-03-2020,Delhi,3
07-03-2020,Haryana,14
07-03-2020,Kerala,3
07-03-2020,Rajasthan,1
07-03-2020,Tamil Nadu,1
07-03-2020,Telangana,1
07-03-2020,Union Territory of Ladakh,2
07-03-2020,Uttar Pradesh,7
08-03-2020,Delhi,3
08-03-2020,Haryana,14
08-03-2020,Kerala,8
08-03-2020,Rajasthan,1
08-03-2020,Tamil Nadu,1
08-03-2020,Telangana,1
08-03-2020,Union Territory of Ladakh,2
08-03-2020,Uttar Pradesh,7
09-03-2020,Delhi,4
09-03-2020,Haryana,14
09-03-2020,Karnataka,1
09-03-2020,Kerala,9
09-03-2020,Maharashtra,2
09-03-2020,Punjab,1
09-03-2020,Rajasthan,1
09-03-2020,Tamil Nadu,1
09-03-2020,Telangana,1
09-03-2020,Union Territory of Jammu and Kashmir,1
09-03-2020,Union Territory of Ladakh,2
09-03-2020,Uttar Pradesh,7
10-03-2020,Delhi,4
10-03-2020,Haryana,14
10-03-2020,Karnataka,4
10-03-2020,Kerala,15
10-03-2020,Maharashtra,5
10-03-2020,Punjab,1
10-03-2020,Rajasthan,1
10-03-2020,Tamil Nadu,1
10-03-2020,Telangana,1
10-03-2020,Union Territory of Jammu and Kashmir,1
10-03-2020,Union Territory of Ladakh,2
10-03-2020,Uttar Pradesh,7
11-03-2020,Delhi,5
11-03-2020,Haryana,14
11-03-2020,Karnataka,4
11-03-2020,Kerala,17
11-03-2020,Maharashtra,10
11-03-2020,Punjab,1
11-03-2020,Rajasthan,3
11-03-2020,Tamil Nadu,1
11-03-2020,Telangana,1
11-03-2020,Union Territory of Jammu and Kashmir,1
11-03-2020,Union Territory of Ladakh,2
11-03-2020,Uttar Pradesh,9
12-03-2020,Andhra Pradesh,1
12-03-2020,Delhi,6
12-03-2020,Haryana,14
12-03-2020,Karnataka,4
12-03-2020,Kerala,17
12-03-2020,Maharashtra,11
12-03-2020,Punjab,1
12-03-2020,Rajasthan,3
12-03-2020,Tamil Nadu,1
12-03-2020,Telangana,1
12-03-2020,Union Territory of Jammu and Kashmir,1
12-03-2020,Union Territory of Ladakh,3
12-03-2020,Uttar Pradesh,11
13-03-2020,Andhra Pradesh,1
13-03-2020,Delhi,6
13-03-2020,Haryana,14
13-03-2020,Karnataka,5
13-03-2020,Kerala,17
13-03-2020,Maharashtra,11
13-03-2020,Punjab,1
13-03-2020,Rajasthan,3
13-03-2020,Tamil Nadu,1
13-03-2020,Telangana,1
13-03-2020,Union Territory of Jammu and Kashmir,1
13-03-2020,Union Territory of Ladakh,3
13-03-2020,Uttar Pradesh,11
14-03-2020,Andhra Pradesh,1
14-03-2020,Delhi,7
14-03-2020,Haryana,14
14-03-2020,Karnataka,6
14-03-2020,Kerala,19
14-03-2020,Maharashtra,14
14-03-2020,Punjab,1
14-03-2020,Rajasthan,3
14-03-2020,Tamil Nadu,1
14-03-2020,Telangana,1
14-03-2020,Union Territory of Jammu and Kashmir,2
14-03-2020,Union Territory of Ladakh,3
14-03-2020,Uttar Pradesh,12
15-03-2020,Andhra Pradesh,1
15-03-2020,Delhi,7
15-03-2020,Haryana,14
15-03-2020,Karnataka,6
15-03-2020,Kerala,23
15-03-2020,Maharashtra,32
15-03-2020,Punjab,1
15-03-2020,Rajasthan,4
15-03-2020,Tamil Nadu,1
15-03-2020,Telangana,3
15-03-2020,Union Territory of Jammu and Kashmir,2
15-03-2020,Union Territory of Ladakh,3
15-03-2020,Uttar Pradesh,13
15-03-2020,Uttarakhand,1
16-03-2020,Andhra Pradesh,1
16-03-2020,Delhi,7
16-03-2020,Haryana,14
16-03-2020,Karnataka,6
16-03-2020,Kerala,23
16-03-2020,Maharashtra,32
16-03-2020,Odisha,1
16-03-2020,Punjab,1
16-03-2020,Rajasthan,4
16-03-2020,Tamil Nadu,1
16-03-2020,Telangana,3
16-03-2020,Union Territory of Jammu and Kashmir,3
16-03-2020,Union Territory of Ladakh,4
16-03-2020,Uttar Pradesh,13
16-03-2020,Uttarakhand,1
17-03-2020,Andhra Pradesh,1
17-03-2020,Delhi,8
17-03-2020,Haryana,15
17-03-2020,Karnataka,11
17-03-2020,Kerala,26
17-03-2020,Maharashtra,39
17-03-2020,Odisha,1
17-03-2020,Punjab,1
17-03-2020,Rajasthan,4
17-03-2020,Tamil Nadu,1
17-03-2020,Telangana,5
17-03-2020,Union Territory of Jammu and Kashmir,3
17-03-2020,Union Territory of Ladakh,6
17-03-2020,Uttar Pradesh,15
17-03-2020,Uttarakhand,1
18-03-2020,Andhra Pradesh,1
18-03-2020,Delhi,10
18-03-2020,Haryana,17
18-03-2020,Karnataka,11
18-03-2020,Kerala,27
18-03-2020,Maharashtra,42
18-03-2020,Odisha,1
18-03-2020,Puducherry,1
18-03-2020,Punjab,1
18-03-2020,Rajasthan,4
18-03-2020,Tamil Nadu,1
18-03-2020,Telangana,6
18-03-2020,Union Territory of Jammu and Kashmir,3
18-03-2020,Union Territory of Ladakh,8
18-03-2020,Uttar Pradesh,16
18-03-2020,Uttarakhand,1
18-03-2020,West Bengal,1
19-03-2020,Andhra Pradesh,2
19-03-2020,Chhattisgarh,1
19-03-2020,Delhi,12
19-03-2020,Haryana,17
19-03-2020,Karnataka,14
19-03-2020,Kerala,27
19-03-2020,Maharashtra,47
19-03-2020,Odisha,1
19-03-2020,Puducherry,1
19-03-2020,Punjab,2
19-03-2020,Rajasthan,7
19-03-2020,Tamil Nadu,2
19-03-2020,Telangana,6
19-03-2020,Union Territory of Chandigarh,1
19-03-2020,Union Territory of Jammu and Kashmir,4
19-03-2020,Union Territory of Ladakh,8
19-03-2020,Uttar Pradesh,19
19-03-2020,Uttarakhand,1
19-03-2020,West Bengal,1
20-03-2020,Andhra Pradesh,2
20-03-2020,Chhattisgarh,1
20-03-2020,Delhi,17
20-03-2020,Gujarat,2
20-03-2020,Haryana,17
20-03-2020,Karnataka,15
20-03-2020,Kerala,28
20-03-2020,Maharashtra,47
20-03-2020,Odisha,1
20-03-2020,Puducherry,1
20-03-2020,Punjab,2
20-03-2020,Rajasthan,7
20-03-2020,Tamil Nadu,3
20-03-2020,Telangana,16
20-03-2020,Union Territory of Chandigarh,1
20-03-2020,Union Territory of Jammu and Kashmir,4
20-03-2020,Union Territory of Ladakh,10
20-03-2020,Uttar Pradesh,19
20-03-2020,Uttarakhand,1
20-03-2020,West Bengal,1
21-03-2020,Andhra Pradesh,3
21-03-2020,Chandigarh,1
21-03-2020,Chhattisgarh,1
21-03-2020,Delhi,26
21-03-2020,Gujarat,7
21-03-2020,Haryana,17
21-03-2020,Himachal Pradesh,2
21-03-2020,Jammu and Kashmir,4
21-03-2020,Karnataka,15
21-03-2020,Kerala,40
21-03-2020,Ladakh,13
21-03-2020,Madhya Pradesh,4
21-03-2020,Maharashtra,63
21-03-2020,Odisha,2
21-03-2020,Puducherry,1
21-03-2020,Punjab,13
21-03-2020,Rajasthan,17
21-03-2020,Tamil Nadu,3
21-03-2020,Telangana,21
21-03-2020,Uttar Pradesh,24
21-03-2020,Uttarakhand,3
21-03-2020,West Bengal,3
22-03-2020,Andhra Pradesh,5
22-03-2020,Bihar,2
22-03-2020,Chandigarh,5
22-03-2020,Chhattisgarh,1
22-03-2020,Delhi,29
22-03-2020,Gujarat,18
22-03-2020,Haryana,21
22-03-2020,Himachal Pradesh,2
22-03-2020,Jammu and Kashmir,4
22-03-2020,Karnataka,26
22-03-2020,Kerala,52
22-03-2020,Ladakh,13
22-03-2020,Madhya Pradesh,4
22-03-2020,Maharashtra,67
22-03-2020,Odisha,2
22-03-2020,Puducherry,1
22-03-2020,Punjab,21
22-03-2020,Rajasthan,24
22-03-2020,Tamil Nadu,7
22-03-2020,Telangana,22
22-03-2020,Uttar Pradesh,27
22-03-2020,Uttarakhand,3
22-03-2020,West Bengal,4
23-03-2020,Andhra Pradesh,7
23-03-2020,Bihar,2
23-03-2020,Chandigarh,6
23-03-2020,Chhattisgarh,1
23-03-2020,Delhi,29
23-03-2020,Gujarat,29
23-03-2020,Haryana,26
23-03-2020,Himachal Pradesh,2
23-03-2020,Jammu and Kashmir,4
23-03-2020,Karnataka,33
23-03-2020,Kerala,67
23-03-2020,Ladakh,13
23-03-2020,Madhya Pradesh,6
23-03-2020,Maharashtra,74
23-03-2020,Odisha,2
23-03-2020,Puducherry,1
23-03-2020,Punjab,21
23-03-2020,Rajasthan,28
23-03-2020,Tamil Nadu,9
23-03-2020,Telangana,32
23-03-2020,Uttar Pradesh,31
23-03-2020,Uttarakhand,3
23-03-2020,West Bengal,7
24-03-2020,Andhra Pradesh,8
24-03-2020,Bihar,3
24-03-2020,Chandigarh,7
24-03-2020,Chhattisgarh,1
24-03-2020,Delhi,30
24-03-2020,Gujarat,33
24-03-2020,Haryana,28
24-03-2020,Himachal Pradesh,3
24-03-2020,Jammu and Kashmir,4
24-03-2020,Karnataka,37
24-03-2020,Kerala,95
24-03-2020,Ladakh,13
24-03-2020,Madhya Pradesh,7
24-03-2020,Maharashtra,89
24-03-2020,Manipur,1
24-03-2020,Odisha,2
24-03-2020,Puducherry,1
24-03-2020,Punjab,29
24-03-2020,Rajasthan,32
24-03-2020,Tamil Nadu,15
24-03-2020,Telangana,35
24-03-2020,Uttar Pradesh,33
24-03-2020,Uttarakhand,4
24-03-2020,West Bengal,9
25-03-2020,Andhra Pradesh,9
25-03-2020,Bihar,4
25-03-2020,Chandigarh,7
25-03-2020,Chhattisgarh,1
25-03-2020,Delhi,31
25-03-2020,Gujarat,38
25-03-2020,Haryana,28
25-03-2020,Himachal Pradesh,3
25-03-2020,Jammu and Kashmir,7
25-03-2020,Karnataka,41
25-03-2020,Kerala,109
25-03-2020,Ladakh,13
25-03-2020,Madhya Pradesh,14
25-03-2020,Maharashtra,128
25-03-2020,Manipur,1
25-03-2020,Mizoram,1
25-03-2020,Odisha,2
25-03-2020,Puducherry,1
25-03-2020,Punjab,29
25-03-2020,Rajasthan,36
25-03-2020,Tamil Nadu,18
25-03-2020,Telangana,35
25-03-2020,Uttar Pradesh,37
25-03-2020,Uttarakhand,4
25-03-2020,West Bengal,9
26-03-2020,Andaman and Nicobar Islands,1
26-03-2020,Andhra Pradesh,11
26-03-2020,Bihar,6
26-03-2020,Chandigarh,7
26-03-2020,Chhattisgarh,6
26-03-2020,Delhi,36
26-03-2020,Goa,3
26-03-2020,Gujarat,43
26-03-2020,Haryana,30
26-03-2020,Himachal Pradesh,3
26-03-2020,Jammu and Kashmir,13
26-03-2020,Karnataka,55
26-03-2020,Kerala,118
26-03-2020,Ladakh,13
26-03-2020,Madhya Pradesh,20
26-03-2020,Maharashtra,124
26-03-2020,Manipur,1
26-03-2020,Mizoram,1
26-03-2020,Odisha,2
26-03-2020,Puducherry,1
26-03-2020,Punjab,33
26-03-2020,Rajasthan,41
26-03-2020,Tamil Nadu,26
26-03-2020,Telangana,44
26-03-2020,Uttar Pradesh,41
26-03-2020,Uttarakhand,5
26-03-2020,West Bengal,10
27-03-2020,Andaman and Nicobar Islands,1
27-03-2020,Andhra Pradesh,12
27-03-2020,Bihar,6
27-03-2020,Chandigarh,7
27-03-2020,Chhattisgarh,6
27-03-2020,Delhi,36
27-03-2020,Goa,3
27-03-2020,Gujarat,43
27-03-2020,Haryana,30
27-03-2020,Himachal Pradesh,3
27-03-2020,Jammu and Kashmir,13
27-03-2020,Karnataka,55
27-03-2020,Kerala,137
27-03-2020,Ladakh,13
27-03-2020,Madhya Pradesh,20
27-03-2020,Maharashtra,130
27-03-2020,Manipur,1
27-03-2020,Mizoram,1
27-03-2020,Odisha,2
27-03-2020,Puducherry,1
27-03-2020,Punjab,33
27-03-2020,Rajasthan,41
27-03-2020,Tamil Nadu,29
27-03-2020,Telangana,45
27-03-2020,Uttar Pradesh,41
27-03-2020,Uttarakhand,5
27-03-2020,West Bengal,10
28-03-2020,Andaman and Nicobar Islands,6
28-03-2020,Andhra Pradesh,14
28-03-2020,Bihar,9
28-03-2020,Chandigarh,8
28-03-2020,Chhattisgarh,6
28-03-2020,Delhi,39
28-03-2020,Goa,3
28-03-2020,Gujarat,45
28-03-2020,Haryana,33
28-03-2020,Himachal Pradesh,3
28-03-2020,Jammu and Kashmir,20
28-03-2020,Karnataka,55
28-03-2020,Kerala,176
28-03-2020,Ladakh,13
28-03-2020,Madhya Pradesh,30
28-03-2020,Maharashtra,180
28-03-2020,Manipur,1
28-03-2020,Mizoram,1
28-03-2020,Odisha,3
28-03-2020,Puducherry,1
28-03-2020,Punjab,38
28-03-2020,Rajasthan,54
28-03-2020,Tamil Nadu,40
28-03-2020,Telangana,56
28-03-2020,Uttar Pradesh,55
28-03-2020,Uttarakhand,5
28-03-2020,West Bengal,15
29-03-2020,Andaman and Nicobar Islands,9
29-03-2020,Andhra Pradesh,14
29-03-2020,Bihar,9
29-03-2020,Chandigarh,8
29-03-2020,Chhattisgarh,6
29-03-2020,Delhi,39
29-03-2020,Goa,3
29-03-2020,Gujarat,53
29-03-2020,Haryana,33
29-03-2020,Himachal Pradesh,3
29-03-2020,Jammu and Kashmir,31
29-03-2020,Karnataka,76
29-03-2020,Kerala,182
29-03-2020,Ladakh,13
